network,scenario_id,true_source,horizon_h,n_total_nodes,rank_true_source,reciprocal_rank,specificity_pct,top1_source,top1_correct,top5_contains_true,posterior_true_source,nll_true_source,posterior_entropy,top1_top2_margin,candidate_set_size,sensor_design,sensor_count
Net3,0,10,1,97,92,0.010869565217391304,5.154639175257736,10,1,1,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92,103;117;119;187;217,5
Net3,0,10,2,97,92,0.010869565217391304,5.154639175257736,10,1,1,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92,103;117;119;187;217,5
Net3,0,10,4,97,1,1.0,98.96907216494846,10,1,1,0.9999978226606846,2.1773416858078935e-06,3.858195812901016e-05,0.9999972139061527,1,103;117;119;187;217,5
Net3,0,10,8,97,1,1.0,98.96907216494846,10,1,1,1.0,-0.0,3.391624513295659e-28,1.0,1,103;117;119;187;217,5
Net3,0,10,16,97,1,1.0,98.96907216494846,10,1,1,1.0,-0.0,1.0507697333827491e-35,1.0,1,103;117;119;187;217,5
Net3,0,10,24,97,1,1.0,98.96907216494846,10,1,1,1.0,-0.0,4.102181416379178e-43,1.0,1,103;117;119;187;217,5
Net3,1,15,1,97,92,0.010869565217391304,5.154639175257736,10,0,1,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92,103;117;119;187;217,5
Net3,1,15,2,97,92,0.010869565217391304,5.154639175257736,10,0,1,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92,103;117;119;187;217,5
Net3,1,15,4,97,74,0.013513513513513514,23.71134020618557,120,0,1,0.013279750642524735,4.321514912028456,4.30114190908438,0.0010008548136452057,74,103;117;119;187;217,5
Net3,1,15,8,97,71,0.014084507042253521,26.80412371134021,120,0,0,0.013665276905450465,4.29289719596179,4.254249438238745,0.0037967082421697176,71,103;117;119;187;217,5
Net3,1,15,16,97,44,0.022727272727272728,54.639175257731964,120,0,0,0.017823707759285774,4.027225811282485,3.6784822871206604,0.015403491570856187,8,103;117;119;187;217,5
Net3,1,15,24,97,44,0.022727272727272728,54.639175257731964,125,0,0,0.0011854039986171636,6.73767163539439,1.5438496152774077,0.015884129375829503,3,103;117;119;187;217,5
Net3,2,20,1,97,92,0.010869565217391304,5.154639175257736,10,0,1,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92,103;117;119;187;217,5
Net3,2,20,2,97,92,0.010869565217391304,5.154639175257736,10,0,1,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92,103;117;119;187;217,5
Net3,2,20,4,97,74,0.013513513513513514,23.71134020618557,120,0,0,0.013279750642524735,4.321514912028456,4.30114190908438,0.0010008548136452057,74,103;117;119;187;217,5
Net3,2,20,8,97,71,0.014084507042253521,26.80412371134021,120,0,0,0.013665276905450465,4.29289719596179,4.254249438238745,0.0037967082421697176,71,103;117;119;187;217,5
Net3,2,20,16,97,3,0.3333333333333333,96.90721649484536,125,0,1,0.32758620688580775,1.1160040314127764,1.0983166893943508,0.01724137930977865,3,103;117;119;187;217,5
Net3,2,20,24,97,3,0.3333333333333333,96.90721649484536,125,0,1,0.327586206896552,1.1160040313799782,1.0983166884877202,0.017241379310344085,3,103;117;119;187;217,5
Net3,3,35,1,97,92,0.010869565217391304,5.154639175257736,10,0,1,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92,103;117;119;187;217,5
Net3,3,35,2,97,92,0.010869565217391304,5.154639175257736,10,0,1,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92,103;117;119;187;217,5
Net3,3,35,4,97,74,0.013513513513513514,23.71134020618557,120,0,0,0.013279750642524735,4.321514912028456,4.30114190908438,0.0010008548136452057,74,103;117;119;187;217,5
Net3,3,35,8,97,71,0.014084507042253521,26.80412371134021,120,0,0,0.013665276905450465,4.29289719596179,4.254249438238745,0.0037967082421697176,71,103;117;119;187;217,5
Net3,3,35,16,97,44,0.022727272727272728,54.639175257731964,120,0,0,0.017823707759285774,4.027225811282485,3.6784822871206604,0.015403491570856187,8,103;117;119;187;217,5
Net3,3,35,24,97,44,0.022727272727272728,54.639175257731964,125,0,0,0.0011854039986171636,6.73767163539439,1.5438496152774077,0.015884129375829503,3,103;117;119;187;217,5
