network,scenario_id,true_source,horizon_h,method,n_total_nodes,sensor_design,sensor_count,n_ge_true_source,n_gt_true_source,specificity_pct,in_tied_argmax,top1_correct,posterior_true_source,nll_true_source,posterior_entropy,top1_top2_margin,candidate_set_size_q25
Net3,2,20,24,contaminant_status,97,103;117;119;187;217,5,44,0,54.639175257731964,1,0,0.022727272727272728,3.784189633918261,3.7841896339182615,0.0,44
Net3,3,35,1,probability_based,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,3,35,1,contaminant_status,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,3,35,2,probability_based,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,3,35,2,contaminant_status,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,3,35,4,probability_based,97,103;117;119;187;217,5,74,3,23.71134020618557,0,0,0.013279750642524738,4.321514912028456,4.301141909084381,0.0010008548136452057,74
Net3,3,35,4,contaminant_status,97,103;117;119;187;217,5,74,0,23.71134020618557,1,0,0.013513513513513514,4.304065093204169,4.304065093204169,0.0,74
Net3,3,35,8,probability_based,97,103;117;119;187;217,5,71,4,26.80412371134021,0,0,0.01366527690545046,4.29289719596179,4.254249438238744,0.0037967082421697176,71
Net3,3,35,8,contaminant_status,97,103;117;119;187;217,5,71,0,26.80412371134021,1,0,0.014084507042253521,4.2626798770413155,4.262679877041316,0.0,71
Net3,3,35,16,probability_based,97,103;117;119;187;217,5,44,8,54.639175257731964,0,0,0.017823707759285778,4.027225811282485,3.6784822871206604,0.015403491570856187,8
Net3,3,35,16,contaminant_status,97,103;117;119;187;217,5,44,0,54.639175257731964,1,0,0.022727272727272728,3.784189633918261,3.7841896339182615,0.0,44
Net3,3,35,24,probability_based,97,103;117;119;187;217,5,44,8,54.639175257731964,0,0,0.0011854039986171634,6.73767163539439,1.5438496152774073,0.015884129375829503,3
Net3,3,35,24,contaminant_status,97,103;117;119;187;217,5,44,0,54.639175257731964,1,0,0.022727272727272728,3.784189633918261,3.7841896339182615,0.0,44
Net3,4,40,1,probability_based,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,4,40,1,contaminant_status,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,4,40,2,probability_based,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,4,40,2,contaminant_status,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,4,40,4,probability_based,97,103;117;119;187;217,5,74,3,23.71134020618557,0,0,0.013279750642524738,4.321514912028456,4.301141909084381,0.0010008548136452057,74
Net3,4,40,4,contaminant_status,97,103;117;119;187;217,5,74,0,23.71134020618557,1,0,0.013513513513513514,4.304065093204169,4.304065093204169,0.0,74
Net3,4,40,8,probability_based,97,103;117;119;187;217,5,71,4,26.80412371134021,0,0,0.01366527690545046,4.29289719596179,4.254249438238744,0.0037967082421697176,71
Net3,4,40,8,contaminant_status,97,103;117;119;187;217,5,71,0,26.80412371134021,1,0,0.014084507042253521,4.2626798770413155,4.262679877041316,0.0,71
Net3,4,40,16,probability_based,97,103;117;119;187;217,5,44,8,54.639175257731964,0,0,0.017823707759285778,4.027225811282485,3.6784822871206604,0.015403491570856187,8
Net3,4,40,16,contaminant_status,97,103;117;119;187;217,5,44,0,54.639175257731964,1,0,0.022727272727272728,3.784189633918261,3.7841896339182615,0.0,44
Net3,4,40,24,probability_based,97,103;117;119;187;217,5,44,8,54.639175257731964,0,0,0.0011854039986171634,6.73767163539439,1.5438496152774073,0.015884129375829503,3
Net3,4,40,24,contaminant_status,97,103;117;119;187;217,5,44,0,54.639175257731964,1,0,0.022727272727272728,3.784189633918261,3.7841896339182615,0.0,44
Net3,5,50,1,probability_based,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,5,50,1,contaminant_status,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,5,50,2,probability_based,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,5,50,2,contaminant_status,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,5,50,4,probability_based,97,103;117;119;187;217,5,74,3,23.71134020618557,0,0,0.013279750642524738,4.321514912028456,4.301141909084381,0.0010008548136452057,74
Net3,5,50,4,contaminant_status,97,103;117;119;187;217,5,74,0,23.71134020618557,1,0,0.013513513513513514,4.304065093204169,4.304065093204169,0.0,74
Net3,5,50,8,probability_based,97,103;117;119;187;217,5,71,4,26.80412371134021,0,0,0.01366527690545046,4.29289719596179,4.254249438238744,0.0037967082421697176,71
Net3,5,50,8,contaminant_status,97,103;117;119;187;217,5,71,0,26.80412371134021,1,0,0.014084507042253521,4.2626798770413155,4.262679877041316,0.0,71
Net3,5,50,16,probability_based,97,103;117;119;187;217,5,44,8,54.639175257731964,0,0,0.017823707759285778,4.027225811282485,3.6784822871206604,0.015403491570856187,8
Net3,5,50,16,contaminant_status,97,103;117;119;187;217,5,44,0,54.639175257731964,1,0,0.022727272727272728,3.784189633918261,3.7841896339182615,0.0,44
Net3,5,50,24,probability_based,97,103;117;119;187;217,5,44,8,54.639175257731964,0,0,0.0011854039986171634,6.73767163539439,1.5438496152774073,0.015884129375829503,3
Net3,5,50,24,contaminant_status,97,103;117;119;187;217,5,44,0,54.639175257731964,1,0,0.022727272727272728,3.784189633918261,3.7841896339182615,0.0,44
Net3,6,60,1,probability_based,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,6,60,1,contaminant_status,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,6,60,2,probability_based,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,6,60,2,contaminant_status,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,6,60,4,probability_based,97,103;117;119;187;217,5,74,3,23.71134020618557,0,0,0.013279750642524738,4.321514912028456,4.301141909084381,0.0010008548136452057,74
Net3,6,60,4,contaminant_status,97,103;117;119;187;217,5,74,0,23.71134020618557,1,0,0.013513513513513514,4.304065093204169,4.304065093204169,0.0,74
Net3,6,60,8,probability_based,97,103;117;119;187;217,5,2,0,97.9381443298969,1,1,0.5,0.6931471805599453,0.6931471805599468,0.0,2
Net3,6,60,8,contaminant_status,97,103;117;119;187;217,5,2,0,97.9381443298969,1,1,0.5,0.6931471805599453,0.6931471805599453,0.0,2
Net3,6,60,16,probability_based,97,103;117;119;187;217,5,2,0,97.9381443298969,1,1,0.5,0.6931471805599453,0.6931471805599453,0.0,2
Net3,6,60,16,contaminant_status,97,103;117;119;187;217,5,2,0,97.9381443298969,1,1,0.5,0.6931471805599453,0.6931471805599453,0.0,2
Net3,6,60,24,probability_based,97,103;117;119;187;217,5,2,0,97.9381443298969,1,1,0.5,0.6931471805599453,0.6931471805599453,0.0,2
Net3,6,60,24,contaminant_status,97,103;117;119;187;217,5,2,0,97.9381443298969,1,1,0.5,0.6931471805599453,0.6931471805599453,0.0,2
Net3,7,601,1,probability_based,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,7,601,1,contaminant_status,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,7,601,2,probability_based,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,7,601,2,contaminant_status,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,7,601,4,probability_based,97,103;117;119;187;217,5,74,3,23.71134020618557,0,0,0.013279750642524738,4.321514912028456,4.301141909084381,0.0010008548136452057,74
Net3,7,601,4,contaminant_status,97,103;117;119;187;217,5,74,0,23.71134020618557,1,0,0.013513513513513514,4.304065093204169,4.304065093204169,0.0,74
Net3,7,601,8,probability_based,97,103;117;119;187;217,5,71,4,26.80412371134021,0,0,0.01366527690545046,4.29289719596179,4.254249438238744,0.0037967082421697176,71
Net3,7,601,8,contaminant_status,97,103;117;119;187;217,5,71,0,26.80412371134021,1,0,0.014084507042253521,4.2626798770413155,4.262679877041316,0.0,71
Net3,7,601,16,probability_based,97,103;117;119;187;217,5,44,8,54.639175257731964,0,0,0.017823707759285778,4.027225811282485,3.6784822871206604,0.015403491570856187,8
Net3,7,601,16,contaminant_status,97,103;117;119;187;217,5,44,0,54.639175257731964,1,0,0.022727272727272728,3.784189633918261,3.7841896339182615,0.0,44
Net3,7,601,24,probability_based,97,103;117;119;187;217,5,44,8,54.639175257731964,0,0,0.0011854039986171634,6.73767163539439,1.5438496152774073,0.015884129375829503,3
Net3,7,601,24,contaminant_status,97,103;117;119;187;217,5,44,0,54.639175257731964,1,0,0.022727272727272728,3.784189633918261,3.7841896339182615,0.0,44
Net3,8,61,1,probability_based,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,8,61,1,contaminant_status,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,8,61,2,probability_based,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,8,61,2,contaminant_status,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,8,61,4,probability_based,97,103;117;119;187;217,5,74,3,23.71134020618557,0,0,0.013279750642524738,4.321514912028456,4.301141909084381,0.0010008548136452057,74
Net3,8,61,4,contaminant_status,97,103;117;119;187;217,5,74,0,23.71134020618557,1,0,0.013513513513513514,4.304065093204169,4.304065093204169,0.0,74
Net3,8,61,8,probability_based,97,103;117;119;187;217,5,2,0,97.9381443298969,1,0,0.5,0.6931471805599453,0.6931471805599468,0.0,2
Net3,8,61,8,contaminant_status,97,103;117;119;187;217,5,2,0,97.9381443298969,1,0,0.5,0.6931471805599453,0.6931471805599453,0.0,2
Net3,8,61,16,probability_based,97,103;117;119;187;217,5,2,0,97.9381443298969,1,0,0.5,0.6931471805599453,0.6931471805599453,0.0,2
Net3,8,61,16,contaminant_status,97,103;117;119;187;217,5,2,0,97.9381443298969,1,0,0.5,0.6931471805599453,0.6931471805599453,0.0,2
Net3,8,61,24,probability_based,97,103;117;119;187;217,5,2,0,97.9381443298969,1,0,0.5,0.6931471805599453,0.6931471805599453,0.0,2
Net3,8,61,24,contaminant_status,97,103;117;119;187;217,5,2,0,97.9381443298969,1,0,0.5,0.6931471805599453,0.6931471805599453,0.0,2
Net3,9,101,1,probability_based,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,9,101,1,contaminant_status,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,9,101,2,probability_based,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,9,101,2,contaminant_status,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,9,101,4,probability_based,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,0.9999999999940625,5.937472735712964e-12,1.6363407374704953e-10,0.9999999999908005,1
Net3,9,101,4,contaminant_status,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,1.0,-0.0,-0.0,1.0,1
Net3,9,101,8,probability_based,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,0.9999999999999915,8.548717289613742e-15,2.865878626915253e-13,0.9999999999999828,1
Net3,9,101,8,contaminant_status,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,1.0,-0.0,-0.0,1.0,1
Net3,9,101,16,probability_based,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,0.9999999999999996,4.440892098500627e-16,1.898259138201971e-14,0.999999999999999,1
Net3,9,101,16,contaminant_status,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,1.0,-0.0,-0.0,1.0,1
Net3,9,101,24,probability_based,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,1.0,-0.0,5.4239520466856716e-17,1.0,1
Net3,9,101,24,contaminant_status,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,1.0,-0.0,-0.0,1.0,1
Net3,10,103,1,probability_based,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,10,103,1,contaminant_status,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,10,103,2,probability_based,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,10,103,2,contaminant_status,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,10,103,4,probability_based,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,0.99999997513597,2.486403025516896e-08,4.607695679770512e-07,0.9999999503441973,1
Net3,10,103,4,contaminant_status,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,1.0,-0.0,-0.0,1.0,1
Net3,10,103,8,probability_based,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,0.9999999999237128,7.62871987831881e-11,1.8549586755098195e-09,0.9999999998476183,1
Net3,10,103,8,contaminant_status,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,1.0,-0.0,-0.0,1.0,1
