family,n,strict,lenient
baseline,126,0.19047619047619047,0.19047619047619047
bias,630,0.1349206349206349,0.1349206349206349
downsample,171,0.27485380116959063,0.27485380116959063
drift,611,0.16039279869067102,0.16039279869067102
drop_group,635,0.31181102362204727,0.7984251968503937
drop_one,143,0.16083916083916083,0.16083916083916083
noise,1310,0.35725190839694654,0.3793893129770992
