contrast,delta_balanced_accuracy,ci_low,ci_high,significant
guided-generic,0.0010416666666666075,-0.003308489470598866,0.005503906249999916,False
guided-random,-0.022222222222222254,-0.03271668088855588,-0.012413442460317585,True
guided-degraded,0.004513888888888817,-0.0031747412743506507,0.012987401920995803,False
generic-degraded,0.00347222222222221,-0.0045872252747253235,0.012650514632936509,False
random-degraded,0.02673611111111107,0.01452173802759731,0.040151515151515216,True
generic-random,-0.023263888888888862,-0.03409089781746029,-0.012593843005952432,True
