condition,target,true,pred,n
drop_EPS1,valve,73,100,0
drop_EPS1,valve,80,73,12
drop_EPS1,valve,80,80,66
drop_EPS1,valve,80,90,12
drop_EPS1,valve,80,100,0
drop_EPS1,valve,90,73,3
drop_EPS1,valve,90,80,21
drop_EPS1,valve,90,90,33
drop_EPS1,valve,90,100,33
drop_EPS1,valve,100,73,1
drop_EPS1,valve,100,80,15
drop_EPS1,valve,100,90,28
drop_EPS1,valve,100,100,46
drop_EPS1,pump,0,0,119
drop_EPS1,pump,0,1,0
drop_EPS1,pump,0,2,1
drop_EPS1,pump,1,0,0
drop_EPS1,pump,1,1,119
drop_EPS1,pump,1,2,1
drop_EPS1,pump,2,0,0
drop_EPS1,pump,2,1,0
drop_EPS1,pump,2,2,120
drop_FS1,valve,73,73,81
drop_FS1,valve,73,80,9
drop_FS1,valve,73,90,0
drop_FS1,valve,73,100,0
drop_FS1,valve,80,73,12
drop_FS1,valve,80,80,66
drop_FS1,valve,80,90,12
drop_FS1,valve,80,100,0
drop_FS1,valve,90,73,3
drop_FS1,valve,90,80,22
drop_FS1,valve,90,90,27
drop_FS1,valve,90,100,38
drop_FS1,valve,100,73,2
drop_FS1,valve,100,80,17
drop_FS1,valve,100,90,27
drop_FS1,valve,100,100,44
drop_FS1,pump,0,0,119
drop_FS1,pump,0,1,0
drop_FS1,pump,0,2,1
drop_FS1,pump,1,0,0
drop_FS1,pump,1,1,120
drop_FS1,pump,1,2,0
drop_FS1,pump,2,0,0
drop_FS1,pump,2,1,0
drop_FS1,pump,2,2,120
drop_FS2,valve,73,73,82
drop_FS2,valve,73,80,8
drop_FS2,valve,73,90,0
drop_FS2,valve,73,100,0
drop_FS2,valve,80,73,8
drop_FS2,valve,80,80,71
drop_FS2,valve,80,90,11
drop_FS2,valve,80,100,0
drop_FS2,valve,90,73,3
drop_FS2,valve,90,80,21
drop_FS2,valve,90,90,31
drop_FS2,valve,90,100,35
drop_FS2,valve,100,73,2
drop_FS2,valve,100,80,12
drop_FS2,valve,100,90,27
drop_FS2,valve,100,100,49
drop_FS2,pump,0,0,119
drop_FS2,pump,0,1,1
drop_FS2,pump,0,2,0
drop_FS2,pump,1,0,0
drop_FS2,pump,1,1,120
drop_FS2,pump,1,2,0
drop_FS2,pump,2,0,0
drop_FS2,pump,2,1,0
drop_FS2,pump,2,2,120
drop_TS1,valve,73,73,84
