condition,target,true,pred,n
drift_PS3,valve,73,80,5
drift_PS3,valve,73,90,0
drift_PS3,valve,73,100,0
drift_PS3,valve,80,73,8
drift_PS3,valve,80,80,71
drift_PS3,valve,80,90,11
drift_PS3,valve,80,100,0
drift_PS3,valve,90,73,2
drift_PS3,valve,90,80,23
drift_PS3,valve,90,90,31
drift_PS3,valve,90,100,34
drift_PS3,valve,100,73,2
drift_PS3,valve,100,80,13
drift_PS3,valve,100,90,23
drift_PS3,valve,100,100,52
drift_PS3,pump,0,0,119
drift_PS3,pump,0,1,1
drift_PS3,pump,0,2,0
drift_PS3,pump,1,0,0
drift_PS3,pump,1,1,119
drift_PS3,pump,1,2,1
drift_PS3,pump,2,0,0
drift_PS3,pump,2,1,0
drift_PS3,pump,2,2,120
drift_TS1,valve,73,73,85
drift_TS1,valve,73,80,5
drift_TS1,valve,73,90,0
drift_TS1,valve,73,100,0
drift_TS1,valve,80,73,7
drift_TS1,valve,80,80,72
drift_TS1,valve,80,90,11
drift_TS1,valve,80,100,0
drift_TS1,valve,90,73,3
drift_TS1,valve,90,80,23
drift_TS1,valve,90,90,29
drift_TS1,valve,90,100,35
drift_TS1,valve,100,73,2
drift_TS1,valve,100,80,12
drift_TS1,valve,100,90,29
drift_TS1,valve,100,100,47
drift_TS1,pump,0,0,119
drift_TS1,pump,0,1,0
drift_TS1,pump,0,2,1
drift_TS1,pump,1,0,0
drift_TS1,pump,1,1,120
drift_TS1,pump,1,2,0
drift_TS1,pump,2,0,0
drift_TS1,pump,2,1,0
drift_TS1,pump,2,2,120
drift_FS1,valve,73,73,85
drift_FS1,valve,73,80,5
drift_FS1,valve,73,90,0
drift_FS1,valve,73,100,0
drift_FS1,valve,80,73,6
drift_FS1,valve,80,80,73
drift_FS1,valve,80,90,11
drift_FS1,valve,80,100,0
drift_FS1,valve,90,73,1
drift_FS1,valve,90,80,19
drift_FS1,valve,90,90,34
drift_FS1,valve,90,100,36
drift_FS1,valve,100,73,2
drift_FS1,valve,100,80,13
drift_FS1,valve,100,90,26
drift_FS1,valve,100,100,49
drift_FS1,pump,0,0,119
drift_FS1,pump,0,1,1
drift_FS1,pump,0,2,0
drift_FS1,pump,1,0,0
drift_FS1,pump,1,1,120
drift_FS1,pump,1,2,0
drift_FS1,pump,2,0,0
drift_FS1,pump,2,1,0
drift_FS1,pump,2,2,120
drift_EPS1,valve,73,73,83
drift_EPS1,valve,73,80,7
drift_EPS1,valve,73,90,0
drift_EPS1,valve,73,100,0
drift_EPS1,valve,80,73,8
drift_EPS1,valve,80,80,72
drift_EPS1,valve,80,90,10
drift_EPS1,valve,80,100,0
drift_EPS1,valve,90,73,3
drift_EPS1,valve,90,80,21
drift_EPS1,valve,90,90,31
drift_EPS1,valve,90,100,35
drift_EPS1,valve,100,73,2
drift_EPS1,valve,100,80,11
drift_EPS1,valve,100,90,29
drift_EPS1,valve,100,100,48
drift_EPS1,pump,0,0,119
drift_EPS1,pump,0,1,0
drift_EPS1,pump,0,2,1
drift_EPS1,pump,1,0,0
drift_EPS1,pump,1,1,119
drift_EPS1,pump,1,2,1
drift_EPS1,pump,2,0,0
drift_EPS1,pump,2,1,0
drift_EPS1,pump,2,2,120
restore_PRESSURE_PS1,valve,73,73,78
restore_PRESSURE_PS1,valve,73,80,12
restore_PRESSURE_PS1,valve,73,90,0
restore_PRESSURE_PS1,valve,73,100,0
restore_PRESSURE_PS1,valve,80,73,18
restore_PRESSURE_PS1,valve,80,80,59
restore_PRESSURE_PS1,valve,80,90,13
restore_PRESSURE_PS1,valve,80,100,0
restore_PRESSURE_PS1,valve,90,73,4
restore_PRESSURE_PS1,valve,90,80,32
restore_PRESSURE_PS1,valve,90,90,7
restore_PRESSURE_PS1,valve,90,100,47
restore_PRESSURE_PS1,valve,100,73,2
restore_PRESSURE_PS1,valve,100,80,16
restore_PRESSURE_PS1,valve,100,90,37
restore_PRESSURE_PS1,valve,100,100,35
restore_PRESSURE_PS1,pump,0,0,119
restore_PRESSURE_PS1,pump,0,1,0
restore_PRESSURE_PS1,pump,0,2,1
restore_PRESSURE_PS1,pump,1,0,0
restore_PRESSURE_PS1,pump,1,1,118
restore_PRESSURE_PS1,pump,1,2,2
restore_PRESSURE_PS1,pump,2,0,0
restore_PRESSURE_PS1,pump,2,1,0
restore_PRESSURE_PS1,pump,2,2,120
restore_PRESSURE_PS2,valve,73,73,83
restore_PRESSURE_PS2,valve,73,80,7
restore_PRESSURE_PS2,valve,73,90,0
restore_PRESSURE_PS2,valve,73,100,0
restore_PRESSURE_PS2,valve,80,73,7
restore_PRESSURE_PS2,valve,80,80,71
restore_PRESSURE_PS2,valve,80,90,12
restore_PRESSURE_PS2,valve,80,100,0
restore_PRESSURE_PS2,valve,90,73,2
restore_PRESSURE_PS2,valve,90,80,26
restore_PRESSURE_PS2,valve,90,90,34
restore_PRESSURE_PS2,valve,90,100,28
restore_PRESSURE_PS2,valve,100,73,1
restore_PRESSURE_PS2,valve,100,80,15
restore_PRESSURE_PS2,valve,100,90,33
restore_PRESSURE_PS2,valve,100,100,41
restore_PRESSURE_PS2,pump,0,0,119
restore_PRESSURE_PS2,pump,0,1,0
restore_PRESSURE_PS2,pump,0,2,1
restore_PRESSURE_PS2,pump,1,0,0
restore_PRESSURE_PS2,pump,1,1,117
restore_PRESSURE_PS2,pump,1,2,3
restore_PRESSURE_PS2,pump,2,0,0
restore_PRESSURE_PS2,pump,2,1,0
restore_PRESSURE_PS2,pump,2,2,120
restore_PRESSURE_PS3,valve,73,73,64
restore_PRESSURE_PS3,valve,73,80,13
restore_PRESSURE_PS3,valve,73,90,0
restore_PRESSURE_PS3,valve,73,100,13
restore_PRESSURE_PS3,valve,80,73,17
restore_PRESSURE_PS3,valve,80,80,45
restore_PRESSURE_PS3,valve,80,90,25
restore_PRESSURE_PS3,valve,80,100,3
restore_PRESSURE_PS3,valve,90,73,2
restore_PRESSURE_PS3,valve,90,80,41
restore_PRESSURE_PS3,valve,90,90,3
restore_PRESSURE_PS3,valve,90,100,44
restore_PRESSURE_PS3,valve,100,73,1
restore_PRESSURE_PS3,valve,100,80,19
restore_PRESSURE_PS3,valve,100,90,38
restore_PRESSURE_PS3,valve,100,100,32
restore_PRESSURE_PS3,pump,0,0,119
restore_PRESSURE_PS3,pump,0,1,0
restore_PRESSURE_PS3,pump,0,2,1
restore_PRESSURE_PS3,pump,1,0,0
restore_PRESSURE_PS3,pump,1,1,118
restore_PRESSURE_PS3,pump,1,2,2
restore_PRESSURE_PS3,pump,2,0,0
restore_PRESSURE_PS3,pump,2,1,0
restore_PRESSURE_PS3,pump,2,2,120
restore_PRESSURE_PS4,valve,73,73,62
restore_PRESSURE_PS4,valve,73,80,14
restore_PRESSURE_PS4,valve,73,90,0
restore_PRESSURE_PS4,valve,73,100,14
restore_PRESSURE_PS4,valve,80,73,18
restore_PRESSURE_PS4,valve,80,80,47
restore_PRESSURE_PS4,valve,80,90,22
restore_PRESSURE_PS4,valve,80,100,3
restore_PRESSURE_PS4,valve,90,73,3
restore_PRESSURE_PS4,valve,90,80,41
restore_PRESSURE_PS4,valve,90,90,2
restore_PRESSURE_PS4,valve,90,100,44
restore_PRESSURE_PS4,valve,100,73,1
restore_PRESSURE_PS4,valve,100,80,19
restore_PRESSURE_PS4,valve,100,90,36
restore_PRESSURE_PS4,valve,100,100,34
restore_PRESSURE_PS4,pump,0,0,119
restore_PRESSURE_PS4,pump,0,1,0
restore_PRESSURE_PS4,pump,0,2,1
restore_PRESSURE_PS4,pump,1,0,0
restore_PRESSURE_PS4,pump,1,1,117
restore_PRESSURE_PS4,pump,1,2,3
restore_PRESSURE_PS4,pump,2,0,0
restore_PRESSURE_PS4,pump,2,1,0
restore_PRESSURE_PS4,pump,2,2,120
restore_PRESSURE_PS5,valve,73,73,64
restore_PRESSURE_PS5,valve,73,80,13
restore_PRESSURE_PS5,valve,73,90,0
restore_PRESSURE_PS5,valve,73,100,13
restore_PRESSURE_PS5,valve,80,73,15
restore_PRESSURE_PS5,valve,80,80,49
restore_PRESSURE_PS5,valve,80,90,21
restore_PRESSURE_PS5,valve,80,100,5
restore_PRESSURE_PS5,valve,90,73,3
restore_PRESSURE_PS5,valve,90,80,41
restore_PRESSURE_PS5,valve,90,90,1
restore_PRESSURE_PS5,valve,90,100,45
restore_PRESSURE_PS5,valve,100,73,1
restore_PRESSURE_PS5,valve,100,80,19
restore_PRESSURE_PS5,valve,100,90,38
restore_PRESSURE_PS5,valve,100,100,32
restore_PRESSURE_PS5,pump,0,0,119
restore_PRESSURE_PS5,pump,0,1,0
restore_PRESSURE_PS5,pump,0,2,1
restore_PRESSURE_PS5,pump,1,0,0
restore_PRESSURE_PS5,pump,1,1,118
restore_PRESSURE_PS5,pump,1,2,2
restore_PRESSURE_PS5,pump,2,0,0
restore_PRESSURE_PS5,pump,2,1,0
restore_PRESSURE_PS5,pump,2,2,120
restore_PRESSURE_PS6,valve,73,73,64
restore_PRESSURE_PS6,valve,73,80,13
restore_PRESSURE_PS6,valve,73,90,0
restore_PRESSURE_PS6,valve,73,100,13
restore_PRESSURE_PS6,valve,80,73,15
restore_PRESSURE_PS6,valve,80,80,47
restore_PRESSURE_PS6,valve,80,90,23
restore_PRESSURE_PS6,valve,80,100,5
restore_PRESSURE_PS6,valve,90,73,4
restore_PRESSURE_PS6,valve,90,80,40
restore_PRESSURE_PS6,valve,90,90,2
restore_PRESSURE_PS6,valve,90,100,44
restore_PRESSURE_PS6,valve,100,73,0
restore_PRESSURE_PS6,valve,100,80,20
restore_PRESSURE_PS6,valve,100,90,37
restore_PRESSURE_PS6,valve,100,100,33
restore_PRESSURE_PS6,pump,0,0,119
restore_PRESSURE_PS6,pump,0,1,0
restore_PRESSURE_PS6,pump,0,2,1
restore_PRESSURE_PS6,pump,1,0,0
restore_PRESSURE_PS6,pump,1,1,118
restore_PRESSURE_PS6,pump,1,2,2
restore_PRESSURE_PS6,pump,2,0,0
restore_PRESSURE_PS6,pump,2,1,0
restore_PRESSURE_PS6,pump,2,2,120
restore_TEMPERATURE_TS1,valve,73,73,83
restore_TEMPERATURE_TS1,valve,73,80,7
restore_TEMPERATURE_TS1,valve,73,90,0
restore_TEMPERATURE_TS1,valve,73,100,0
restore_TEMPERATURE_TS1,valve,80,73,8
restore_TEMPERATURE_TS1,valve,80,80,70
restore_TEMPERATURE_TS1,valve,80,90,12
restore_TEMPERATURE_TS1,valve,80,100,0
restore_TEMPERATURE_TS1,valve,90,73,2
restore_TEMPERATURE_TS1,valve,90,80,20
restore_TEMPERATURE_TS1,valve,90,90,32
restore_TEMPERATURE_TS1,valve,90,100,36
restore_TEMPERATURE_TS1,valve,100,73,2
restore_TEMPERATURE_TS1,valve,100,80,10
restore_TEMPERATURE_TS1,valve,100,90,23
restore_TEMPERATURE_TS1,valve,100,100,55
restore_TEMPERATURE_TS1,pump,0,0,119
restore_TEMPERATURE_TS1,pump,0,1,0
restore_TEMPERATURE_TS1,pump,0,2,1
restore_TEMPERATURE_TS1,pump,1,0,0
restore_TEMPERATURE_TS1,pump,1,1,119
restore_TEMPERATURE_TS1,pump,1,2,1
restore_TEMPERATURE_TS1,pump,2,0,0
restore_TEMPERATURE_TS1,pump,2,1,0
restore_TEMPERATURE_TS1,pump,2,2,120
restore_TEMPERATURE_TS2,valve,73,73,82
restore_TEMPERATURE_TS2,valve,73,80,8
restore_TEMPERATURE_TS2,valve,73,90,0
restore_TEMPERATURE_TS2,valve,73,100,0
restore_TEMPERATURE_TS2,valve,80,73,5
restore_TEMPERATURE_TS2,valve,80,80,74
restore_TEMPERATURE_TS2,valve,80,90,11
restore_TEMPERATURE_TS2,valve,80,100,0
restore_TEMPERATURE_TS2,valve,90,73,3
restore_TEMPERATURE_TS2,valve,90,80,20
restore_TEMPERATURE_TS2,valve,90,90,31
restore_TEMPERATURE_TS2,valve,90,100,36
restore_TEMPERATURE_TS2,valve,100,73,1
restore_TEMPERATURE_TS2,valve,100,80,10
restore_TEMPERATURE_TS2,valve,100,90,24
restore_TEMPERATURE_TS2,valve,100,100,55
restore_TEMPERATURE_TS2,pump,0,0,119
restore_TEMPERATURE_TS2,pump,0,1,0
restore_TEMPERATURE_TS2,pump,0,2,1
restore_TEMPERATURE_TS2,pump,1,0,0
restore_TEMPERATURE_TS2,pump,1,1,120
restore_TEMPERATURE_TS2,pump,1,2,0
restore_TEMPERATURE_TS2,pump,2,0,0
restore_TEMPERATURE_TS2,pump,2,1,0
restore_TEMPERATURE_TS2,pump,2,2,120
restore_TEMPERATURE_TS3,valve,73,73,85
restore_TEMPERATURE_TS3,valve,73,80,5
restore_TEMPERATURE_TS3,valve,73,90,0
restore_TEMPERATURE_TS3,valve,73,100,0
restore_TEMPERATURE_TS3,valve,80,73,6
restore_TEMPERATURE_TS3,valve,80,80,73
restore_TEMPERATURE_TS3,valve,80,90,11
restore_TEMPERATURE_TS3,valve,80,100,0
restore_TEMPERATURE_TS3,valve,90,73,3
restore_TEMPERATURE_TS3,valve,90,80,20
restore_TEMPERATURE_TS3,valve,90,90,31
restore_TEMPERATURE_TS3,valve,90,100,36
restore_TEMPERATURE_TS3,valve,100,73,2
restore_TEMPERATURE_TS3,valve,100,80,11
restore_TEMPERATURE_TS3,valve,100,90,23
restore_TEMPERATURE_TS3,valve,100,100,54
restore_TEMPERATURE_TS3,pump,0,0,119
restore_TEMPERATURE_TS3,pump,0,1,0
restore_TEMPERATURE_TS3,pump,0,2,1
restore_TEMPERATURE_TS3,pump,1,0,0
restore_TEMPERATURE_TS3,pump,1,1,119
restore_TEMPERATURE_TS3,pump,1,2,1
restore_TEMPERATURE_TS3,pump,2,0,0
restore_TEMPERATURE_TS3,pump,2,1,0
restore_TEMPERATURE_TS3,pump,2,2,120
restore_TEMPERATURE_TS4,valve,73,73,83
restore_TEMPERATURE_TS4,valve,73,80,7
restore_TEMPERATURE_TS4,valve,73,90,0
restore_TEMPERATURE_TS4,valve,73,100,0
restore_TEMPERATURE_TS4,valve,80,73,7
restore_TEMPERATURE_TS4,valve,80,80,72
restore_TEMPERATURE_TS4,valve,80,90,11
restore_TEMPERATURE_TS4,valve,80,100,0
restore_TEMPERATURE_TS4,valve,90,73,2
restore_TEMPERATURE_TS4,valve,90,80,22
restore_TEMPERATURE_TS4,valve,90,90,31
restore_TEMPERATURE_TS4,valve,90,100,35
restore_TEMPERATURE_TS4,valve,100,73,1
restore_TEMPERATURE_TS4,valve,100,80,12
restore_TEMPERATURE_TS4,valve,100,90,24
restore_TEMPERATURE_TS4,valve,100,100,53
restore_TEMPERATURE_TS4,pump,0,0,119
restore_TEMPERATURE_TS4,pump,0,1,0
restore_TEMPERATURE_TS4,pump,0,2,1
restore_TEMPERATURE_TS4,pump,1,0,0
restore_TEMPERATURE_TS4,pump,1,1,119
restore_TEMPERATURE_TS4,pump,1,2,1
restore_TEMPERATURE_TS4,pump,2,0,0
restore_TEMPERATURE_TS4,pump,2,1,0
restore_TEMPERATURE_TS4,pump,2,2,120
restore_FLOW_FS1,valve,73,73,82
restore_FLOW_FS1,valve,73,80,8
restore_FLOW_FS1,valve,73,90,0
restore_FLOW_FS1,valve,73,100,0
restore_FLOW_FS1,valve,80,73,8
restore_FLOW_FS1,valve,80,80,71
restore_FLOW_FS1,valve,80,90,11
restore_FLOW_FS1,valve,80,100,0
restore_FLOW_FS1,valve,90,73,3
restore_FLOW_FS1,valve,90,80,21
restore_FLOW_FS1,valve,90,90,31
restore_FLOW_FS1,valve,90,100,35
restore_FLOW_FS1,valve,100,73,2
restore_FLOW_FS1,valve,100,80,12
restore_FLOW_FS1,valve,100,90,27
restore_FLOW_FS1,valve,100,100,49
restore_FLOW_FS1,pump,0,0,119
restore_FLOW_FS1,pump,0,1,1
restore_FLOW_FS1,pump,0,2,0
restore_FLOW_FS1,pump,1,0,0
restore_FLOW_FS1,pump,1,1,120
restore_FLOW_FS1,pump,1,2,0
restore_FLOW_FS1,pump,2,0,0
restore_FLOW_FS1,pump,2,1,0
restore_FLOW_FS1,pump,2,2,120
restore_FLOW_FS2,valve,73,73,81
restore_FLOW_FS2,valve,73,80,9
restore_FLOW_FS2,valve,73,90,0
restore_FLOW_FS2,valve,73,100,0
restore_FLOW_FS2,valve,80,73,12
restore_FLOW_FS2,valve,80,80,66
restore_FLOW_FS2,valve,80,90,12
restore_FLOW_FS2,valve,80,100,0
restore_FLOW_FS2,valve,90,73,3
restore_FLOW_FS2,valve,90,80,22
restore_FLOW_FS2,valve,90,90,27
restore_FLOW_FS2,valve,90,100,38
restore_FLOW_FS2,valve,100,73,2
restore_FLOW_FS2,valve,100,80,17
restore_FLOW_FS2,valve,100,90,27
restore_FLOW_FS2,valve,100,100,44
restore_FLOW_FS2,pump,0,0,119
restore_FLOW_FS2,pump,0,1,0
restore_FLOW_FS2,pump,0,2,1
restore_FLOW_FS2,pump,1,0,0
restore_FLOW_FS2,pump,1,1,120
restore_FLOW_FS2,pump,1,2,0
restore_FLOW_FS2,pump,2,0,0
restore_FLOW_FS2,pump,2,1,0
restore_FLOW_FS2,pump,2,2,120
restore_OTHER_EPS1,valve,73,73,73
restore_OTHER_EPS1,valve,73,80,17
restore_OTHER_EPS1,valve,73,90,0
restore_OTHER_EPS1,valve,73,100,0
restore_OTHER_EPS1,valve,80,73,12
restore_OTHER_EPS1,valve,80,80,66
restore_OTHER_EPS1,valve,80,90,12
restore_OTHER_EPS1,valve,80,100,0
restore_OTHER_EPS1,valve,90,73,4
restore_OTHER_EPS1,valve,90,80,35
restore_OTHER_EPS1,valve,90,90,19
restore_OTHER_EPS1,valve,90,100,32
restore_OTHER_EPS1,valve,100,73,1
restore_OTHER_EPS1,valve,100,80,18
restore_OTHER_EPS1,valve,100,90,23
restore_OTHER_EPS1,valve,100,100,48
restore_OTHER_EPS1,pump,0,0,119
restore_OTHER_EPS1,pump,0,1,1
restore_OTHER_EPS1,pump,0,2,0
restore_OTHER_EPS1,pump,1,0,0
restore_OTHER_EPS1,pump,1,1,120
restore_OTHER_EPS1,pump,1,2,0
restore_OTHER_EPS1,pump,2,0,0
restore_OTHER_EPS1,pump,2,1,0
restore_OTHER_EPS1,pump,2,2,120
restore_OTHER_VS1,valve,73,73,73
restore_OTHER_VS1,valve,73,80,17
restore_OTHER_VS1,valve,73,90,0
restore_OTHER_VS1,valve,73,100,0
restore_OTHER_VS1,valve,80,73,12
restore_OTHER_VS1,valve,80,80,64
restore_OTHER_VS1,valve,80,90,14
restore_OTHER_VS1,valve,80,100,0
restore_OTHER_VS1,valve,90,73,3
restore_OTHER_VS1,valve,90,80,38
restore_OTHER_VS1,valve,90,90,16
restore_OTHER_VS1,valve,90,100,33
restore_OTHER_VS1,valve,100,73,1
restore_OTHER_VS1,valve,100,80,18
restore_OTHER_VS1,valve,100,90,21
restore_OTHER_VS1,valve,100,100,50
restore_OTHER_VS1,pump,0,0,119
restore_OTHER_VS1,pump,0,1,1
restore_OTHER_VS1,pump,0,2,0
restore_OTHER_VS1,pump,1,0,0
restore_OTHER_VS1,pump,1,1,120
restore_OTHER_VS1,pump,1,2,0
restore_OTHER_VS1,pump,2,0,0
restore_OTHER_VS1,pump,2,1,0
restore_OTHER_VS1,pump,2,2,120
restore_OTHER_SE,valve,73,73,83
restore_OTHER_SE,valve,73,80,7
restore_OTHER_SE,valve,73,90,0
restore_OTHER_SE,valve,73,100,0
restore_OTHER_SE,valve,80,73,9
restore_OTHER_SE,valve,80,80,69
restore_OTHER_SE,valve,80,90,12
restore_OTHER_SE,valve,80,100,0
restore_OTHER_SE,valve,90,73,3
restore_OTHER_SE,valve,90,80,20
restore_OTHER_SE,valve,90,90,34
restore_OTHER_SE,valve,90,100,33
restore_OTHER_SE,valve,100,73,2
restore_OTHER_SE,valve,100,80,16
restore_OTHER_SE,valve,100,90,26
restore_OTHER_SE,valve,100,100,46
restore_OTHER_SE,pump,0,0,119
restore_OTHER_SE,pump,0,1,1
restore_OTHER_SE,pump,0,2,0
restore_OTHER_SE,pump,1,0,0
restore_OTHER_SE,pump,1,1,119
restore_OTHER_SE,pump,1,2,1
restore_OTHER_SE,pump,2,0,0
restore_OTHER_SE,pump,2,1,0
restore_OTHER_SE,pump,2,2,120
restore_OTHER_CE,valve,73,73,69
restore_OTHER_CE,valve,73,80,20
restore_OTHER_CE,valve,73,90,1
restore_OTHER_CE,valve,73,100,0
restore_OTHER_CE,valve,80,73,12
restore_OTHER_CE,valve,80,80,65
restore_OTHER_CE,valve,80,90,13
restore_OTHER_CE,valve,80,100,0
restore_OTHER_CE,valve,90,73,3
restore_OTHER_CE,valve,90,80,35
restore_OTHER_CE,valve,90,90,19
restore_OTHER_CE,valve,90,100,33
restore_OTHER_CE,valve,100,73,1
restore_OTHER_CE,valve,100,80,19
restore_OTHER_CE,valve,100,90,22
restore_OTHER_CE,valve,100,100,48
restore_OTHER_CE,pump,0,0,119
restore_OTHER_CE,pump,0,1,1
restore_OTHER_CE,pump,0,2,0
restore_OTHER_CE,pump,1,0,0
restore_OTHER_CE,pump,1,1,119
restore_OTHER_CE,pump,1,2,1
restore_OTHER_CE,pump,2,0,0
restore_OTHER_CE,pump,2,1,0
restore_OTHER_CE,pump,2,2,120
restore_OTHER_CP,valve,73,73,73
restore_OTHER_CP,valve,73,80,17
restore_OTHER_CP,valve,73,90,0
restore_OTHER_CP,valve,73,100,0
restore_OTHER_CP,valve,80,73,12
restore_OTHER_CP,valve,80,80,65
restore_OTHER_CP,valve,80,90,13
restore_OTHER_CP,valve,80,100,0
restore_OTHER_CP,valve,90,73,2
restore_OTHER_CP,valve,90,80,39
restore_OTHER_CP,valve,90,90,17
restore_OTHER_CP,valve,90,100,32
restore_OTHER_CP,valve,100,73,1
restore_OTHER_CP,valve,100,80,19
restore_OTHER_CP,valve,100,90,19
restore_OTHER_CP,valve,100,100,51
restore_OTHER_CP,pump,0,0,119
restore_OTHER_CP,pump,0,1,0
restore_OTHER_CP,pump,0,2,1
restore_OTHER_CP,pump,1,0,0
restore_OTHER_CP,pump,1,1,120
restore_OTHER_CP,pump,1,2,0
restore_OTHER_CP,pump,2,0,0
restore_OTHER_CP,pump,2,1,0
restore_OTHER_CP,pump,2,2,120
