group,target,cause,balacc_degraded,sensor_degraded,balacc_random,sensor_random,balacc_generic,sensor_generic,balacc_guided,sensor_guided
PRESSURE,valve,LOW_ISOLABILITY,0.41111111111111115,,0.6361111111111112,PS2,0.40555555555555556,PS5,0.4000000000000001,PS3
PRESSURE,pump,CLASSIFIER_LIMITED,0.9916666666666667,,0.9888888888888889,PS2,0.9916666666666667,PS5,0.9916666666666667,
TEMPERATURE,valve,LOW_ISOLABILITY,0.6722222222222223,,0.675,TS3,0.6666666666666667,TS1,0.6666666666666667,TS1
TEMPERATURE,pump,CLASSIFIER_LIMITED,0.9944444444444445,,0.9944444444444445,TS3,0.9944444444444445,TS1,0.9944444444444445,
FLOW,valve,LOW_ISOLABILITY,0.5944444444444444,,0.6055555555555555,FS2,0.6472222222222221,FS1,0.6472222222222221,FS1
FLOW,pump,CLASSIFIER_LIMITED,0.9972222222222222,,0.9972222222222222,FS2,0.9972222222222222,FS1,0.9972222222222222,
OTHER,valve,CLASSIFIER_LIMITED,0.5777777777777777,,0.5583333333333333,CE,0.5638888888888889,VS1,0.5777777777777777,
OTHER,pump,CLASSIFIER_LIMITED,0.9972222222222222,,0.9944444444444445,CE,0.9972222222222222,VS1,0.9972222222222222,
