dataset,model,score,status,n_test,n_errors_test,test_accuracy,augrc,aurc,error_capture_5,residual_error_5,lift_5,error_capture_10,residual_error_10,lift_10,error_capture_20,residual_error_20,lift_20
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M1_logreg,MCP_RISK,OK,320,170,0.46875,0.267939453125,0.539398889586687,0.041176470588235294,0.5361842105263158,0.8235294117647058,0.10588235294117647,0.5277777777777778,1.0588235294117647,0.19411764705882353,0.53515625,0.9705882352941176
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M1_logreg,ENTROPY_RISK,OK,320,170,0.46875,0.267939453125,0.539398889586687,0.041176470588235294,0.5361842105263158,0.8235294117647058,0.10588235294117647,0.5277777777777778,1.0588235294117647,0.19411764705882353,0.53515625,0.9705882352941176
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M1_logreg,MARGIN_RISK,OK,320,170,0.46875,0.267939453125,0.539398889586687,0.041176470588235294,0.5361842105263158,0.8235294117647058,0.10588235294117647,0.5277777777777778,1.0588235294117647,0.19411764705882353,0.53515625,0.9705882352941176
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M1_logreg,ISO_PRED,OK,320,170,0.46875,0.254306640625,0.49869214533593115,0.06470588235294118,0.5230263157894737,1.2941176470588236,0.12941176470588237,0.5138888888888888,1.2941176470588236,0.21764705882352942,0.51953125,1.088235294117647
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M1_logreg,STANDARD_META,OK,320,170,0.46875,0.262080078125,0.5052138443784114,0.052941176470588235,0.5296052631578947,1.0588235294117647,0.1,0.53125,1.0,0.2,0.53125,1.0
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M1_logreg,ISO_META,OK,320,170,0.46875,0.256591796875,0.489280383587567,0.047058823529411764,0.5328947368421053,0.9411764705882353,0.10588235294117647,0.5277777777777778,1.0588235294117647,0.20588235294117646,0.52734375,1.0294117647058822
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M2_random_forest,MCP_RISK,OK,320,139,0.565625,0.204765625,0.36681561737682783,0.050359712230215826,0.4342105263157895,1.0071942446043165,0.10071942446043165,0.4340277777777778,1.0071942446043165,0.20863309352517986,0.4296875,1.0431654676258992
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M2_random_forest,ENTROPY_RISK,OK,320,139,0.565625,0.204765625,0.36681561737682783,0.050359712230215826,0.4342105263157895,1.0071942446043165,0.10071942446043165,0.4340277777777778,1.0071942446043165,0.20863309352517986,0.4296875,1.0431654676258992
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M2_random_forest,MARGIN_RISK,OK,320,139,0.565625,0.204765625,0.36681561737682783,0.050359712230215826,0.4342105263157895,1.0071942446043165,0.10071942446043165,0.4340277777777778,1.0071942446043165,0.20863309352517986,0.4296875,1.0431654676258992
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M2_random_forest,ISO_PRED,OK,320,139,0.565625,0.221689453125,0.4382091072423525,0.04316546762589928,0.4375,0.8633093525179856,0.06474820143884892,0.4513888888888889,0.6474820143884892,0.18705035971223022,0.44140625,0.935251798561151
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M2_random_forest,STANDARD_META,OK,320,139,0.565625,0.204765625,0.36681561737682783,0.050359712230215826,0.4342105263157895,1.0071942446043165,0.10071942446043165,0.4340277777777778,1.0071942446043165,0.20863309352517986,0.4296875,1.0431654676258992
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M2_random_forest,ISO_META,OK,320,139,0.565625,0.1959765625,0.3602678280607764,0.07194244604316546,0.4243421052631579,1.4388489208633093,0.14388489208633093,0.4131944444444444,1.4388489208633093,0.2446043165467626,0.41015625,1.223021582733813
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M3_gradient_boosting,MCP_RISK,OK,320,113,0.646875,0.16493164062500001,0.2989671857662234,0.035398230088495575,0.35855263157894735,0.7079646017699115,0.07964601769911504,0.3611111111111111,0.7964601769911503,0.20353982300884957,0.3515625,1.0176991150442478
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M3_gradient_boosting,ENTROPY_RISK,OK,320,113,0.646875,0.16493164062500001,0.2989671857662234,0.035398230088495575,0.35855263157894735,0.7079646017699115,0.07964601769911504,0.3611111111111111,0.7964601769911503,0.20353982300884957,0.3515625,1.0176991150442478
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M3_gradient_boosting,MARGIN_RISK,OK,320,113,0.646875,0.16493164062500001,0.2989671857662234,0.035398230088495575,0.35855263157894735,0.7079646017699115,0.07964601769911504,0.3611111111111111,0.7964601769911503,0.20353982300884957,0.3515625,1.0176991150442478
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M3_gradient_boosting,ISO_PRED,OK,320,113,0.646875,0.18271484374999997,0.35073745410540724,0.04424778761061947,0.35526315789473684,0.8849557522123893,0.07079646017699115,0.3645833333333333,0.7079646017699115,0.17699115044247787,0.36328125,0.8849557522123893
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M3_gradient_boosting,STANDARD_META,OK,320,113,0.646875,0.16493164062500001,0.2989671857662234,0.035398230088495575,0.35855263157894735,0.7079646017699115,0.07964601769911504,0.3611111111111111,0.7964601769911503,0.20353982300884957,0.3515625,1.0176991150442478
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M3_gradient_boosting,ISO_META,OK,320,113,0.646875,0.162939453125,0.28487209021930476,0.04424778761061947,0.35526315789473684,0.8849557522123893,0.11504424778761062,0.3472222222222222,1.1504424778761062,0.23008849557522124,0.33984375,1.1504424778761062
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M4_rbf_svm,MCP_RISK,OK,320,150,0.53125,0.235107421875,0.4480493168242791,0.04,0.47368421052631576,0.7999999999999999,0.07333333333333333,0.4826388888888889,0.7333333333333333,0.2,0.46875,1.0
