dataset,model,n_test,n_errors_test,test_accuracy,auroc_meta_base,auroc_meta_iso,delta_auroc,ci_low,ci_high,p_raw,aurc_meta_base,aurc_meta_iso,delta_aurc,aurc_ci_low,aurc_ci_high,holm_rejected
GAS,M2_rbf_svm,7977,3473,0.5646232919643976,0.6232143395971664,0.7620115261144204,0.13879718651725392,0.12385306754713346,0.1541252506398258,0.0,0.34047368529712074,0.2167323061240188,0.12374137917310193,0.11371779281586845,0.13455885128816386,True
GAS,M4_hist_gradient_boosting,7977,3769,0.5275166102544817,0.7492119143866262,0.7129426369007926,-0.03626927748583353,-0.04969895792999071,-0.022096890297391744,0.0,0.2692446637791715,0.3421106239393161,-0.07286596016014463,-0.08397935852018779,-0.06100616408593088,True
