dataset,model,score,auroc,auprc,aurc,acc_at_cov_90,acc_at_cov_80,acc_at_cov_70
GAS,M1_logreg,META_BASE,0.7825681111933146,0.6887701182966013,0.23373011198808094,0.5972976737707202,0.6392980256972736,0.6876790830945558
GAS,M1_logreg,META_ISO,0.6648553880944449,0.6359284299378677,0.358153227051232,0.6088591725867112,0.6461924161704795,0.6418338108882522
GAS,M1_logreg,PROB_BEST,0.7825677599269162,0.6887701344805062,0.23373957330002407,0.5972976737707202,0.6392980256972736,0.6876790830945558
GAS,M1_logreg,ISO_RAW,0.8045369823482886,0.8222971388205539,0.2934242124282376,0.6241816408970609,0.6864619241617048,0.7290472779369628
GAS,M1_logreg,B1_max_prob,0.7866635580654853,0.6934828458850104,0.23200967378672396,0.5995263964340438,0.6392980256972736,0.6901862464183381
GAS,M1_logreg,B2_entropy,0.7927721126668451,0.704390332776663,0.2295215722193463,0.6024515949296559,0.6458790347853338,0.6962750716332378
GAS,M1_logreg,B3_margin,0.7825677599269162,0.6887701344805062,0.23373957330002407,0.5972976737707202,0.6392980256972736,0.6876790830945558
GAS,M2_rbf_svm,META_BASE,0.6232143395971664,0.5346534668648042,0.34047368529712074,0.5759855133026883,0.6067063616421184,0.6328796561604584
GAS,M2_rbf_svm,META_ISO,0.7620115261144204,0.6225182293978446,0.2167323061240188,0.5865719459534754,0.6247257912879975,0.6572349570200573
GAS,M2_rbf_svm,PROB_BEST,0.6232143395971664,0.5346534668648042,0.34047368529712074,0.5759855133026883,0.6067063616421184,0.6328796561604584
GAS,M2_rbf_svm,ISO_RAW,0.6953620648299825,0.7214761679374079,0.3580757274757739,0.6272461345591308,0.6660921341272328,0.6735315186246418
GAS,M2_rbf_svm,B1_max_prob,0.6202727178809992,0.5383511689733902,0.3438852060405927,0.5797464827970469,0.6099968661861486,0.6343123209169055
GAS,M2_rbf_svm,B2_entropy,0.6203855522863767,0.5473221734978294,0.3457460806299125,0.5830895667920324,0.6136007521153244,0.6310888252148997
GAS,M2_rbf_svm,B3_margin,0.6232143395971664,0.5346534668648042,0.34047368529712074,0.5759855133026883,0.6067063616421184,0.6328796561604584
GAS,M3_random_forest,META_BASE,0.7408964732839721,0.722983350794413,0.3425114628154566,0.5142777545619167,0.547477279849577,0.5786174785100286
GAS,M3_random_forest,META_ISO,0.6342859382888876,0.658898877284564,0.40868582298376427,0.5091238334029808,0.5233469131933564,0.5533667621776504
GAS,M3_random_forest,PROB_BEST,0.7408964732839721,0.722983350794413,0.3425114628154566,0.5142777545619167,0.547477279849577,0.5786174785100286
GAS,M3_random_forest,ISO_RAW,0.7638889518111286,0.8272841540931988,0.3746279187264297,0.5380972280261875,0.6007521153243498,0.6378939828080229
GAS,M3_random_forest,B1_max_prob,0.7054505509219618,0.6763993564188081,0.35620261497734584,0.5096810140688118,0.5318082105922908,0.5635744985673352
GAS,M3_random_forest,B2_entropy,0.7408964732839721,0.722983350794413,0.3425114628154566,0.5142777545619167,0.547477279849577,0.5786174785100286
GAS,M3_random_forest,B3_margin,0.6656727469685323,0.6452240921043453,0.37645520094527046,0.5022983702465524,0.5241303666562207,0.5521131805157593
GAS,M4_hist_gradient_boosting,META_BASE,0.7492119143866262,0.6946515325103925,0.2692446637791715,0.562613177322747,0.5932309620808525,0.6257163323782235
GAS,M4_hist_gradient_boosting,META_ISO,0.7129426369007926,0.7095322339036272,0.3421106239393161,0.567070622649394,0.6099968661861486,0.6515042979942693
GAS,M4_hist_gradient_boosting,PROB_BEST,0.7492119143866262,0.6946515325103925,0.2692446637791715,0.562613177322747,0.5932309620808525,0.6257163323782235
GAS,M4_hist_gradient_boosting,ISO_RAW,0.7223366123680576,0.7650218726604899,0.3573001932960921,0.5855968797882714,0.637731118771545,0.6459527220630372
GAS,M4_hist_gradient_boosting,B1_max_prob,0.7492119143866262,0.6946515325103925,0.2692446637791715,0.562613177322747,0.5932309620808525,0.6257163323782235
GAS,M4_hist_gradient_boosting,B2_entropy,0.7567991378536328,0.7135947144049353,0.26630921229308385,0.5672099178158518,0.5990285177060483,0.6325214899713467
GAS,M4_hist_gradient_boosting,B3_margin,0.7429361072467306,0.6765287493279064,0.2719936494727628,0.5587129126619306,0.5904105296145409,0.622134670487106
