dataset,model,score,auroc,auprc,aurc,acc_at_cov_90,acc_at_cov_80,acc_at_cov_70
GAS,M1_logreg,META_BASE,0.7975435097897027,0.42522465985519287,0.004428844503141756,0.9968051118210862,0.9968553459119497,0.997431946584489
GAS,M1_logreg,META_ISO,0.888007614213198,0.4543506961788661,0.0014504392378596016,0.9976038338658147,0.9977538185085355,0.9979455572675912
GAS,M1_logreg,PROB_BEST,0.7974377568286197,0.4252246598551929,0.004437131962688934,0.9968051118210862,0.9968553459119497,0.997431946584489
GAS,M1_logreg,ISO_RAW,0.648643340584965,0.015336463189074705,0.0049111977349767,0.9924121405750799,0.9928122192273136,0.9938366718027735
GAS,M1_logreg,B1_max_prob,0.7956852791878173,0.38495349070543405,0.004448207512538391,0.9968051118210862,0.9968553459119497,0.997431946584489
GAS,M1_logreg,B2_entropy,0.7894609620497945,0.2547246309438825,0.007221912444120555,0.9968051118210862,0.9968553459119497,0.997431946584489
GAS,M1_logreg,B3_margin,0.7974377568286197,0.4252246598551929,0.004437131962688934,0.9968051118210862,0.9968553459119497,0.997431946584489
GAS,M2_rbf_svm,META_BASE,0.8402084884586746,0.30373748141223816,0.0035306550308602347,0.9984025559105432,0.9986522911051213,0.9984591679506933
GAS,M2_rbf_svm,META_ISO,0.8874800553132646,0.3015586726876705,0.0009419776140058611,0.9980031948881789,0.9986522911051213,0.9984591679506933
GAS,M2_rbf_svm,PROB_BEST,0.8402084884586746,0.30373748141223816,0.0035306550308602347,0.9984025559105432,0.9986522911051213,0.9984591679506933
GAS,M2_rbf_svm,ISO_RAW,0.539346877991703,0.0075106591230232524,0.0051246793420479525,0.9940095846645367,0.9941599281221922,0.9938366718027735
GAS,M2_rbf_svm,B1_max_prob,0.8344431443463461,0.292447177286142,0.003667198053994161,0.9984025559105432,0.9982030548068284,0.9984591679506933
GAS,M2_rbf_svm,B2_entropy,0.8313796404637804,0.2708877579544811,0.003596424375047363,0.9980031948881789,0.9982030548068284,0.9984591679506933
GAS,M2_rbf_svm,B3_margin,0.8402084884586746,0.30373748141223816,0.0035306550308602347,0.9984025559105432,0.9986522911051213,0.9984591679506933
GAS,M3_random_forest,META_BASE,0.9657511481750061,0.32668846468434737,0.00036618095514721546,0.9992012779552716,0.9995507637017071,0.9994863893168978
GAS,M3_random_forest,META_ISO,0.9568527918781726,0.25862572928306454,0.0004636887834797343,0.9988019169329073,0.9991015274034142,0.9989727786337956
GAS,M3_random_forest,PROB_BEST,0.9657511481750061,0.32668846468434737,0.00036618095514721546,0.9992012779552716,0.9995507637017071,0.9994863893168978
GAS,M3_random_forest,ISO_RAW,0.6764110466521635,0.014589514025126355,0.0037828444955217188,0.9924121405750799,0.9923629829290207,0.9933230611196713
GAS,M3_random_forest,B1_max_prob,0.9657511481750061,0.32668846468434737,0.00036618095514721546,0.9992012779552716,0.9995507637017071,0.9994863893168978
GAS,M3_random_forest,B2_entropy,0.962231085327532,0.19452339872857563,0.00039188558598683503,0.9992012779552716,0.9995507637017071,0.9994863893168978
GAS,M3_random_forest,B3_margin,0.9646785109983079,0.37482597450924493,0.00037589519849520384,0.9988019169329073,0.9995507637017071,0.9994863893168978
GAS,M4_hist_gradient_boosting,META_BASE,0.9058794466403162,0.3123535314004545,0.0010812061425164864,0.9984025559105432,0.9986522911051213,0.9984591679506933
GAS,M4_hist_gradient_boosting,META_ISO,0.8843873517786561,0.31423394397690524,0.0013033381805465948,0.9980031948881789,0.9986522911051213,0.9984591679506933
GAS,M4_hist_gradient_boosting,PROB_BEST,0.9058794466403162,0.3123535314004545,0.0010812061425164864,0.9984025559105432,0.9986522911051213,0.9984591679506933
GAS,M4_hist_gradient_boosting,ISO_RAW,0.6233695652173913,0.016171824015139027,0.004860109050628141,0.9928115015974441,0.9928122192273136,0.9938366718027735
GAS,M4_hist_gradient_boosting,B1_max_prob,0.9055994729907774,0.2794414744477376,0.0010850563177958116,0.9984025559105432,0.9986522911051213,0.9984591679506933
GAS,M4_hist_gradient_boosting,B2_entropy,0.9058794466403162,0.3123535314004545,0.0010812061425164864,0.9984025559105432,0.9986522911051213,0.9984591679506933
GAS,M4_hist_gradient_boosting,B3_margin,0.9035902503293808,0.27699070498443523,0.0011199089294530325,0.9984025559105432,0.9986522911051213,0.9984591679506933
CREDIT,M1_logreg,META_BASE,0.6512600938539193,0.3298346495683439,0.1377182538793773,0.8394444444444444,0.8570833333333333,0.8685714285714285
CREDIT,M1_logreg,META_ISO,0.665182283033572,0.32991638029301906,0.13044764801201847,0.8396296296296296,0.8591666666666666,0.8721428571428571
