design_id,design_size,b_star_equiv,q05,q10,minimum,mean,cvar05,cvar10,val_failure_rate,test_failure_rate
0,41,0.0,37.40005493164063,42.2796630859375,30.199432373046875,587.2810854985643,34.463709050958805,37.024372379954265,0.06666666666666667,0.08888888888888889
1,41,0.0,37.40005493164063,42.2796630859375,30.199432373046875,587.2810854985643,34.463709050958805,37.024372379954265,0.06666666666666667,0.08888888888888889
2,41,0.0,37.40005493164063,42.2796630859375,30.199432373046875,587.2810854985643,34.463709050958805,37.024372379954265,0.06666666666666667,0.08888888888888889
3,41,0.0,37.40005493164063,42.2796630859375,30.199432373046875,587.2810854985643,34.463709050958805,37.024372379954265,0.06666666666666667,0.08888888888888889
4,41,0.0,37.40005493164063,42.2796630859375,30.199432373046875,587.2810854985643,34.463709050958805,37.024372379954265,0.06666666666666667,0.08888888888888889
5,41,0.0,37.40005493164063,42.2796630859375,30.199432373046875,587.2810854985643,34.463709050958805,37.024372379954265,0.06666666666666667,0.08888888888888889
6,41,0.0,37.40005493164063,42.2796630859375,30.199432373046875,587.2810854985643,34.463709050958805,37.024372379954265,0.06666666666666667,0.08888888888888889
7,41,0.0,37.40005493164063,42.2796630859375,30.199432373046875,587.2810854985643,34.463709050958805,37.024372379954265,0.06666666666666667,0.08888888888888889
8,41,0.0,37.40005493164063,42.2796630859375,30.199432373046875,587.2810854985643,34.463709050958805,37.024372379954265,0.06666666666666667,0.08888888888888889
9,41,0.0,37.40005493164063,42.2796630859375,30.199432373046875,587.2810854985643,34.463709050958805,37.024372379954265,0.06666666666666667,0.08888888888888889
10,41,0.0,37.40005493164063,42.2796630859375,30.199432373046875,587.2810854985643,34.463709050958805,37.024372379954265,0.06666666666666667,0.08888888888888889
11,41,0.0,37.40005493164063,42.2796630859375,30.199432373046875,587.2810854985643,34.463709050958805,37.024372379954265,0.06666666666666667,0.08888888888888889
12,41,0.0,37.40005493164063,42.2796630859375,30.199432373046875,587.2810854985643,34.463709050958805,37.024372379954265,0.06666666666666667,0.08888888888888889
13,41,0.0,37.40005493164063,42.2796630859375,30.199432373046875,587.2810854985643,34.463709050958805,37.024372379954265,0.06666666666666667,0.08888888888888889
14,41,0.0,37.40005493164063,42.2796630859375,30.199432373046875,587.2810854985643,34.463709050958805,37.024372379954265,0.06666666666666667,0.08888888888888889
15,41,0.0,37.40005493164063,42.2796630859375,30.199432373046875,587.2810854985643,34.463709050958805,37.024372379954265,0.06666666666666667,0.08888888888888889
16,41,0.0,37.40005493164063,42.2796630859375,30.199432373046875,587.2810854985643,34.463709050958805,37.024372379954265,0.06666666666666667,0.08888888888888889
17,41,0.0,37.40005493164063,42.2796630859375,30.199432373046875,587.2810854985643,34.463709050958805,37.024372379954265,0.06666666666666667,0.08888888888888889
18,41,0.0,37.40005493164063,42.2796630859375,30.199432373046875,587.2810854985643,34.463709050958805,37.024372379954265,0.06666666666666667,0.08888888888888889
19,41,0.0,37.40005493164063,42.2796630859375,30.199432373046875,587.2810854985643,34.463709050958805,37.024372379954265,0.06666666666666667,0.08888888888888889
20,24,0.0,35.120086669921875,40.57983398437501,24.700164794921875,466.82463834290195,31.285749162946427,34.51786320383956,0.14285714285714285,0.14285714285714285
21,24,0.0,36.54022216796875,41.580047607421875,24.700164794921875,490.7581401476272,31.790560767764138,35.398082227494534,0.06666666666666667,0.09206349206349207
22,24,0.0,6.666666666666667,35.32701619466146,6.333821614583334,390.24609161832603,6.550894474637681,15.662735109406757,0.2857142857142857,0.273015873015873
23,24,0.0,24.2803955078125,29.900299072265625,16.2994384765625,333.1731075244757,21.0903567359561,24.102433367473324,0.09523809523809523,0.1111111111111111
24,24,0.0,37.40005493164063,42.2796630859375,30.199432373046875,575.5988822259258,34.463709050958805,37.024372379954265,0.1380952380952381,0.14603174603174604
25,24,0.0,31.840057373046875,37.32009887695313,27.40020751953125,497.1447425599786,30.019088018508185,32.07323027820122,0.14761904761904762,0.14285714285714285
26,24,0.0,29.639739990234375,39.379730224609375,22.299957275390625,476.78997796458793,27.157120477585565,30.417056199980944,0.15714285714285714,0.15873015873015872
27,24,0.0,6.666666666666667,27.440185546875,6.333821614583334,390.15107177412517,6.550894474637681,13.1164153804624,0.2571428571428571,0.3047619047619048
28,24,0.0,37.40005493164063,42.2796630859375,30.199432373046875,575.5988822259258,34.463709050958805,37.024372379954265,0.11904761904761904,0.12698412698412698
29,24,0.0,31.139984130859375,39.379730224609375,23.600006103515625,577.9933928821567,28.185562860398065,31.268254722036968,0.10476190476190476,0.13015873015873017
30,24,0.0,31.099700927734375,37.36007690429688,23.600006103515625,470.3152695883555,28.0379885718936,30.885370766244282,0.18095238095238095,0.18095238095238095
31,24,0.0,28.43963623046875,37.36007690429688,17.800140380859375,281.15324521401845,23.876226515997026,28.29759179092035,0.1619047619047619,0.1873015873015873
32,24,0.0,27.3797607421875,37.59963989257814,14.699554443359377,576.252153143226,23.89988248310392,27.460910207856962,0.1619047619047619,0.17777777777777778
33,24,0.0,26.000213623046875,29.00009155273437,14.699554443359377,476.9637700791464,23.93325593736437,25.499963911752854,0.1761904761904762,0.19365079365079366
34,24,0.0,36.54022216796875,42.07977294921875,30.0994873046875,576.4855649865732,32.75720505487351,35.90729876262386,0.11904761904761904,0.12063492063492064
35,24,0.0,6.666666666666667,30.2001953125,6.333821614583334,408.49625529370974,6.550894474637681,15.138236151801214,0.2523809523809524,0.273015873015873
36,24,0.0,26.000213623046875,29.00009155273437,14.699554443359377,457.29553569937104,23.804092407226562,25.426156180245535,0.18571428571428572,0.19682539682539682
37,24,0.0,27.3797607421875,37.59963989257814,14.699554443359377,556.0320317424597,23.83640592060392,27.42839782218623,0.16666666666666666,0.18412698412698414
38,24,0.0,29.639739990234375,39.379730224609375,22.299957275390625,486.180773758287,27.157120477585565,30.417056199980944,0.10952380952380952,0.1365079365079365
