split,metric,n_scored,coverage,auroc,auprc,spearman_logloss
train,fo_d_S,63000,1.0,0.8735264661067774,0.7015860715284143,-0.6988886171051989
train,mean_abs,63000,1.0,0.8519996478138271,0.6683498948229633,-0.6949138170275276
train,rms,63000,1.0,0.8615763936102542,0.6838890088109787,-0.7070579184987357
train,l2_channels,63000,1.0,0.8780119410777028,0.7081579802864656,-0.7079897519474728
train,mahalanobis,63000,1.0,0.881601127896414,0.7170296787502634,-0.7616952994147739
train,kl_gauss,60000,0.9523809523809523,0.7191895525315539,0.3262664371688235,-0.4058215082678597
train,iso_d_nearest,63000,1.0,0.8883168683550136,0.7543649086040579,-0.7738154417262959
train,iso_margin_ratio,63000,1.0,0.8970365089139622,0.7577618939334343,-0.8083968207153911
train,rf_entropy,63000,1.0,0.9229957285160597,0.7684861768218454,0.9637416624008223
train,rf_margin,63000,1.0,0.9261471747249048,0.7265576881113721,-0.9533642780722862
val,fo_d_S,25200,1.0,0.8975467321622748,0.7312069521303052,-0.7040686562072545
val,mean_abs,25200,1.0,0.8787407834587524,0.7001615201809119,-0.7078130360001167
val,rms,25200,1.0,0.8877608616856104,0.7152904638158541,-0.7174754764524133
val,l2_channels,25200,1.0,0.9026702169902676,0.7387695023489376,-0.7149972230559256
val,mahalanobis,25200,1.0,0.9060931126823806,0.7506168403516305,-0.7722112380063815
val,kl_gauss,24000,0.9523809523809523,0.7394775270207654,0.33753438542302544,-0.4041009064537841
val,iso_d_nearest,25200,1.0,0.9105860652323273,0.78036819250051,-0.7841566131502248
val,iso_margin_ratio,25200,1.0,0.9130432498228264,0.780402797742401,-0.811846124644916
val,rf_entropy,25200,1.0,0.937639440185667,0.7917748886457228,0.9659649261983548
val,rf_margin,25200,1.0,0.9251590731794403,0.7151064917439536,-0.9485358581352694
test,fo_d_S,37800,1.0,0.8607483564303572,0.6900521820141534,-0.6893893336357219
test,mean_abs,37800,1.0,0.8403499686295893,0.6573054534772613,-0.6860384718369383
test,rms,37800,1.0,0.8499631165930532,0.6728932088521971,-0.6985626053354788
test,l2_channels,37800,1.0,0.865558361461119,0.6958162019145437,-0.6981939666310752
test,mahalanobis,37800,1.0,0.8746749048658379,0.7118838778172311,-0.7573658431383913
test,kl_gauss,36000,0.9523809523809523,0.7110089167112084,0.3406011600218544,-0.4097330489628808
test,iso_d_nearest,37800,1.0,0.8823675980849476,0.7500186492629064,-0.7707144969526996
test,iso_margin_ratio,37800,1.0,0.8920059218795884,0.7534322071970186,-0.804277954804567
test,rf_entropy,37800,1.0,0.9247903726200304,0.7855688789901947,0.9669129560861992
test,rf_margin,37800,1.0,0.9256986790042995,0.7322819210809519,-0.9511773950446065
