year,decile,n,failure_rate,mean_fo_visibility
2018,0,77,0.0,21.851622083191465
2018,1,77,0.0,12.795054857542565
2018,2,77,0.025974025974025976,9.552293721204581
2018,3,77,0.0,8.750643784413896
2018,4,77,0.0,7.275499483143884
2018,5,77,0.012987012987012988,6.417687928912241
2018,6,77,0.012987012987012988,5.874347292558946
2018,7,77,0.22077922077922077,5.18930773942405
2018,8,77,0.06493506493506493,4.911983899620178
2018,9,77,0.2077922077922078,3.5183032729629886
2019,0,127,0.0,20.981854734721363
2019,1,126,0.0873015873015873,11.526699679855753
2019,2,127,0.0,9.518898067517366
2019,3,126,0.23809523809523808,8.797203499403242
2019,4,127,0.1968503937007874,7.5664732561017525
2019,5,126,0.2222222222222222,6.4301109660416556
2019,6,126,0.0,5.883013784634157
2019,7,127,0.0,5.262856336360441
2019,8,126,0.031746031746031744,4.892855842988507
2019,9,127,0.09448818897637795,3.434462334484714
