year,budget,n_designs,design_criterion,endpoint,spearman_rho,endpoint_std,endpoint_n_unique
2018,4,1000,goal_oriented_oed,recall,0.4367079743899162,0.08484797329004726,8
2018,4,1000,goal_oriented_oed,false_forgetting_rate,-0.4367079743899162,0.08484797329004724,8
2018,4,1000,goal_oriented_oed,false_positives,0.3822424751053375,2.1142561339629595,13
2018,4,1000,goal_oriented_oed,delay_mean_h,-0.5130738952524897,109.97110148212218,979
2018,4,1000,goal_oriented_oed,localisation_mean_m,0.2624679830003529,226.56356015322308,987
2018,4,1000,goal_oriented_oed,battledim_score_eur,0.23949741508950526,17242.169974093664,725
2018,4,1000,topological_spread,recall,0.28735280302350624,0.08484797329004726,8
2018,4,1000,topological_spread,false_forgetting_rate,-0.28735280302350624,0.08484797329004724,8
2018,4,1000,topological_spread,false_positives,0.2990174811320555,2.1142561339629595,13
2018,4,1000,topological_spread,delay_mean_h,-0.21884637024379652,109.97110148212218,979
2018,4,1000,topological_spread,localisation_mean_m,0.011009010309440747,226.56356015322308,987
2018,4,1000,topological_spread,battledim_score_eur,0.04973870773170678,17242.169974093664,725
2018,4,1000,mean_betweenness,recall,0.004925408457669671,0.08484797329004726,8
2018,4,1000,mean_betweenness,false_forgetting_rate,-0.004925408457669671,0.08484797329004724,8
2018,4,1000,mean_betweenness,false_positives,0.06277672368217713,2.1142561339629595,13
2018,4,1000,mean_betweenness,delay_mean_h,0.07088068981165672,109.97110148212218,979
2018,4,1000,mean_betweenness,localisation_mean_m,-0.16139750186004712,226.56356015322308,987
2018,4,1000,mean_betweenness,battledim_score_eur,-0.14546353925746103,17242.169974093664,725
2018,6,1000,B_blind_spot,recall,0.1657529593879707,0.071541303896877,6
2018,6,1000,B_blind_spot,false_forgetting_rate,-0.1657529593879707,0.071541303896877,6
2018,6,1000,B_blind_spot,false_positives,0.10187014389897667,2.049700221983693,12
2018,6,1000,B_blind_spot,delay_mean_h,-0.17946501217867808,69.11103688031467,999
2018,6,1000,B_blind_spot,localisation_mean_m,0.15263842387827398,203.43821777379216,1000
2018,6,1000,B_blind_spot,battledim_score_eur,0.010961810740834198,19184.598475660918,831
2018,6,1000,visibility_p05,recall,-0.13465762155966512,0.071541303896877,6
2018,6,1000,visibility_p05,false_forgetting_rate,0.13465762155966512,0.071541303896877,6
2018,6,1000,visibility_p05,false_positives,-0.13812839712529948,2.049700221983693,12
2018,6,1000,visibility_p05,delay_mean_h,0.1812793026796922,69.11103688031467,999
2018,6,1000,visibility_p05,localisation_mean_m,-0.18986996989443308,203.43821777379216,1000
2018,6,1000,visibility_p05,battledim_score_eur,-0.12153993395009242,19184.598475660918,831
2018,6,1000,visibility_mean,recall,0.39743766918114015,0.071541303896877,6
2018,6,1000,visibility_mean,false_forgetting_rate,-0.39743766918114015,0.071541303896877,6
2018,6,1000,visibility_mean,false_positives,0.4687520773125225,2.049700221983693,12
2018,6,1000,visibility_mean,delay_mean_h,-0.5400321676522641,69.11103688031467,999
2018,6,1000,visibility_mean,localisation_mean_m,0.09307193707193707,203.43821777379216,1000
2018,6,1000,visibility_mean,battledim_score_eur,0.13388628843931663,19184.598475660918,831
2018,6,1000,D_optimal_bayesian,recall,0.5447408577827124,0.071541303896877,6
2018,6,1000,D_optimal_bayesian,false_forgetting_rate,-0.5447408577827124,0.071541303896877,6
2018,6,1000,D_optimal_bayesian,false_positives,0.479699454750758,2.049700221983693,12
2018,6,1000,D_optimal_bayesian,delay_mean_h,-0.5253511009271543,69.11103688031467,999
2018,6,1000,D_optimal_bayesian,localisation_mean_m,0.17112843912843914,203.43821777379216,1000
2018,6,1000,D_optimal_bayesian,battledim_score_eur,0.2976834204240748,19184.598475660918,831
2018,6,1000,A_optimal_bayesian,recall,0.4846086744956169,0.071541303896877,6
2018,6,1000,A_optimal_bayesian,false_forgetting_rate,-0.4846086744956169,0.071541303896877,6
2018,6,1000,A_optimal_bayesian,false_positives,0.470590657661967,2.049700221983693,12
2018,6,1000,A_optimal_bayesian,delay_mean_h,-0.49115611862958697,69.11103688031467,999
2018,6,1000,A_optimal_bayesian,localisation_mean_m,0.14542845742845742,203.43821777379216,1000
2018,6,1000,A_optimal_bayesian,battledim_score_eur,0.22641636680374103,19184.598475660918,831
2018,6,1000,E_observable_subspace,recall,0.22997914696125865,0.071541303896877,6
2018,6,1000,E_observable_subspace,false_forgetting_rate,-0.22997914696125865,0.071541303896877,6
2018,6,1000,E_observable_subspace,false_positives,0.2857595095637922,2.049700221983693,12
2018,6,1000,E_observable_subspace,delay_mean_h,-0.21778774444110768,69.11103688031467,999
2018,6,1000,E_observable_subspace,localisation_mean_m,0.0022358662358662362,203.43821777379216,1000
2018,6,1000,E_observable_subspace,battledim_score_eur,0.08721476468120588,19184.598475660918,831
2018,6,1000,bayesian_information_gain,recall,0.5447408577827124,0.071541303896877,6
2018,6,1000,bayesian_information_gain,false_forgetting_rate,-0.5447408577827124,0.071541303896877,6
2018,6,1000,bayesian_information_gain,false_positives,0.479699454750758,2.049700221983693,12
2018,6,1000,bayesian_information_gain,delay_mean_h,-0.5253511009271543,69.11103688031467,999
2018,6,1000,bayesian_information_gain,localisation_mean_m,0.17112843912843914,203.43821777379216,1000
2018,6,1000,bayesian_information_gain,battledim_score_eur,0.2976834204240748,19184.598475660918,831
2018,6,1000,D_optimal_rank_reduced,recall,0.5827663012451294,0.071541303896877,6
2018,6,1000,D_optimal_rank_reduced,false_forgetting_rate,-0.5827663012451294,0.071541303896877,6
2018,6,1000,D_optimal_rank_reduced,false_positives,0.5806981429683996,2.049700221983693,12
2018,6,1000,D_optimal_rank_reduced,delay_mean_h,-0.598531872327468,69.11103688031467,999
2018,6,1000,D_optimal_rank_reduced,localisation_mean_m,0.19806413406413406,203.43821777379216,1000
2018,6,1000,D_optimal_rank_reduced,battledim_score_eur,0.2560570526371893,19184.598475660918,831
2018,6,1000,A_optimal_rank_reduced,recall,0.5279671797031033,0.071541303896877,6
2018,6,1000,A_optimal_rank_reduced,false_forgetting_rate,-0.5279671797031033,0.071541303896877,6
