year,budget,method,event,leak_type,diameter_m,failure,localisation_m,delay_h,fo_visibility_dS,fo_neg_visibility,snr,neg_snr,isolability_margin,neg_isolability_margin,smallest_sv,neg_smallest_sv
2018,4,FO,p257,incipient,0.011843,0,1791.2253000000005,135.66666666666666,11.103362395040905,-11.103362395040905,0.01099918486179757,-0.01099918486179757,1.474065314255313e-11,-1.474065314255313e-11,2.9326339721233382e-06,-2.9326339721233382e-06
2018,4,FO,p461,incipient,0.02132,0,3247.7357500000016,360.0,6.545037026533254,-6.545037026533254,0.0044503963916695454,-0.0044503963916695454,3.496791295409807e-06,-3.496791295409807e-06,4.415377833005044e-06,-4.415377833005044e-06
2018,4,FO,p232,incipient,0.020108,1,,,4.816493657337891,-4.816493657337891,0.007819866098287012,-0.007819866098287012,7.450873854675244e-06,-7.450873854675244e-06,2.6890750150534323e-05,-2.6890750150534323e-05
2018,4,FO,p427,incipient,0.0090731,0,392.82755000000003,227.25,5.021238333807325,-5.021238333807325,0.009284903040060973,-0.009284903040060973,8.913697211743177e-05,-8.913697211743177e-05,1.405361695362127e-05,-1.405361695362127e-05
2018,4,FO,p673,abrupt,0.022916,0,41.168549999999996,54.0,4.649989893199941,-4.649989893199941,0.008166656812281096,-0.008166656812281096,2.7669206037472804e-08,-2.7669206037472804e-08,2.938780177495209e-07,-2.938780177495209e-07
2018,4,FO,p810,incipient,0.010028,0,896.4460499999999,258.1666666666667,9.034164699831047,-9.034164699831047,0.005889752349415018,-0.005889752349415018,5.56459260370179e-06,-5.56459260370179e-06,1.0821206568963415e-05,-1.0821206568963415e-05
2018,4,FO,p628,incipient,0.022318,0,2072.7785500000005,268.9166666666667,5.58393366902637,-5.58393366902637,0.007521063445842149,-0.007521063445842149,4.0519949171535785e-06,-4.0519949171535785e-06,5.7650919587909915e-06,-5.7650919587909915e-06
2018,4,FO,p538,abrupt,0.021731,0,430.262,59.333333333333336,6.8528598183077705,-6.8528598183077705,0.004815815497605621,-0.004815815497605621,3.1648660114846905e-07,-3.1648660114846905e-07,4.835460021638992e-06,-4.835460021638992e-06
2018,4,FO,p866,abrupt,0.018108,0,184.4115,69.83333333333333,10.505573561441732,-10.505573561441732,0.005038747759218364,-0.005038747759218364,1.0538309313967709e-05,-1.0538309313967709e-05,3.8759997086433986e-05,-3.8759997086433986e-05
2018,4,FO,p31,incipient,0.016389,0,1398.2145500000001,222.5,11.135988620537653,-11.135988620537653,0.010951459315358007,-0.010951459315358007,6.20914962001784e-07,-6.20914962001784e-07,1.5362301543761723e-06,-1.5362301543761723e-06
2018,4,FO,p654,incipient,0.0087735,0,436.4045500000001,273.25,5.4348050521249105,-5.4348050521249105,0.007615715976375344,-0.007615715976375344,1.5439780787218638e-08,-1.5439780787218638e-08,9.09043527562631e-06,-9.09043527562631e-06
2018,4,FO,p183,abrupt,0.015853,0,767.18975,288.9166666666667,8.975484167187274,-8.975484167187274,0.005753408970972693,-0.005753408970972693,1.9758532887603764e-07,-1.9758532887603764e-07,3.199968738555081e-05,-3.199968738555081e-05
2018,4,FO,p158,abrupt,0.019364,0,574.1573999999998,42.916666666666664,6.123214681603483,-6.123214681603483,0.007359381123765951,-0.007359381123765951,1.3875439673904921e-06,-1.3875439673904921e-06,3.9524199354235325e-05,-3.9524199354235325e-05
2018,4,FO,p369,abrupt,0.019363,1,,,5.289671270830293,-5.289671270830293,0.009898217834394821,-0.009898217834394821,5.456658188629504e-07,-5.456658188629504e-07,1.933472576037774e-05,-1.933472576037774e-05
2018,4,D_optimal_bayesian,p257,incipient,0.011843,0,726.4699999999999,136.16666666666666,22.05486644072306,-22.05486644072306,0.02808141759204318,-0.02808141759204318,0.003956121925385525,-0.003956121925385525,0.00013713965939132625,-0.00013713965939132625
2018,4,D_optimal_bayesian,p461,incipient,0.02132,0,1703.5344500000003,198.25,1.986131845988749,-1.986131845988749,0.003831972956874329,-0.003831972956874329,5.146724157967242e-09,-5.146724157967242e-09,6.71041162244409e-07,-6.71041162244409e-07
2018,4,D_optimal_bayesian,p232,incipient,0.020108,1,,,4.091731088602473,-4.091731088602473,0.008045786360229849,-0.008045786360229849,2.8580759980911807e-10,-2.8580759980911807e-10,1.6100998991874582e-07,-1.6100998991874582e-07
2018,4,D_optimal_bayesian,p427,incipient,0.0090731,0,1454.9428000000003,339.9166666666667,5.04771002466793,-5.04771002466793,0.009853290375979817,-0.009853290375979817,6.397675577085593e-07,-6.397675577085593e-07,8.06609750942309e-07,-8.06609750942309e-07
2018,4,D_optimal_bayesian,p673,abrupt,0.022916,0,66.32135,23.416666666666668,8.960731797309826,-8.960731797309826,0.017739873335584105,-0.017739873335584105,3.0925623106803357e-07,-3.0925623106803357e-07,9.065602302604587e-07,-9.065602302604587e-07
2018,4,D_optimal_bayesian,p810,incipient,0.010028,0,1067.8651999999997,62.083333333333336,2.9714353134592346,-2.9714353134592346,0.005499599469043585,-0.005499599469043585,2.8976876453867817e-10,-2.8976876453867817e-10,9.951370391068977e-07,-9.951370391068977e-07
2018,4,D_optimal_bayesian,p628,incipient,0.022318,0,1220.1119999999996,292.1666666666667,4.307038321563885,-4.307038321563885,0.007693542780661456,-0.007693542780661456,5.081642107107598e-09,-5.081642107107598e-09,5.576827163431761e-07,-5.576827163431761e-07
2018,4,D_optimal_bayesian,p538,abrupt,0.021731,0,2471.5548500000004,114.75,2.2824354018580992,-2.2824354018580992,0.004272637278711036,-0.004272637278711036,2.5416702076341835e-10,-2.5416702076341835e-10,7.431104677428866e-07,-7.431104677428866e-07
2018,4,D_optimal_bayesian,p866,abrupt,0.018108,0,1312.7446499999999,224.91666666666666,1.8239180683556486,-1.8239180683556486,0.003636828225220193,-0.003636828225220193,7.96338550657083e-10,-7.96338550657083e-10,8.313211894350297e-07,-8.313211894350297e-07
2018,4,D_optimal_bayesian,p31,incipient,0.016389,0,1264.9398999999999,170.75,15.512063337561457,-15.512063337561457,0.014402005980147427,-0.014402005980147427,1.857826076012703e-05,-1.857826076012703e-05,0.00029549176002270503,-0.00029549176002270503
2018,4,D_optimal_bayesian,p654,incipient,0.0087735,0,1845.43415,201.83333333333334,4.326328350028235,-4.326328350028235,0.007818005351041272,-0.007818005351041272,1.8192110040615717e-09,-1.8192110040615717e-09,7.293883252011763e-07,-7.293883252011763e-07
2018,4,D_optimal_bayesian,p183,abrupt,0.015853,0,767.18975,121.33333333333333,2.728252253338596,-2.728252253338596,0.005253211320346009,-0.005253211320346009,1.8146462110735229e-10,-1.8146462110735229e-10,1.2225132945825426e-06,-1.2225132945825426e-06
2018,4,D_optimal_bayesian,p158,abrupt,0.019364,0,356.89074999999997,38.916666666666664,4.436083120638511,-4.436083120638511,0.007955919628814003,-0.007955919628814003,1.3228640405316128e-11,-1.3228640405316128e-11,3.9660012973698006e-07,-3.9660012973698006e-07
2018,4,D_optimal_bayesian,p369,abrupt,0.019363,0,406.80710000000005,12.083333333333334,6.473384806358562,-6.473384806358562,0.012744626711013687,-0.012744626711013687,0.00015189395175352338,-0.00015189395175352338,9.38510268899896e-07,-9.38510268899896e-07
2018,4,A_optimal_bayesian,p257,incipient,0.011843,0,726.4699999999999,136.16666666666666,22.05486644072306,-22.05486644072306,0.02808141759204318,-0.02808141759204318,0.003956121925385525,-0.003956121925385525,0.00013713965939132625,-0.00013713965939132625
2018,4,A_optimal_bayesian,p461,incipient,0.02132,0,1703.5344500000003,198.25,1.986131845988749,-1.986131845988749,0.003831972956874329,-0.003831972956874329,5.146724157967242e-09,-5.146724157967242e-09,6.71041162244409e-07,-6.71041162244409e-07
2018,4,A_optimal_bayesian,p232,incipient,0.020108,1,,,4.091731088602473,-4.091731088602473,0.008045786360229849,-0.008045786360229849,2.8580759980911807e-10,-2.8580759980911807e-10,1.6100998991874582e-07,-1.6100998991874582e-07
2018,4,A_optimal_bayesian,p427,incipient,0.0090731,0,1454.9428000000003,339.9166666666667,5.04771002466793,-5.04771002466793,0.009853290375979817,-0.009853290375979817,6.397675577085593e-07,-6.397675577085593e-07,8.06609750942309e-07,-8.06609750942309e-07
2018,4,A_optimal_bayesian,p673,abrupt,0.022916,0,66.32135,23.416666666666668,8.960731797309826,-8.960731797309826,0.017739873335584105,-0.017739873335584105,3.0925623106803357e-07,-3.0925623106803357e-07,9.065602302604587e-07,-9.065602302604587e-07
2018,4,A_optimal_bayesian,p810,incipient,0.010028,0,1067.8651999999997,62.083333333333336,2.9714353134592346,-2.9714353134592346,0.005499599469043585,-0.005499599469043585,2.8976876453867817e-10,-2.8976876453867817e-10,9.951370391068977e-07,-9.951370391068977e-07
2018,4,A_optimal_bayesian,p628,incipient,0.022318,0,1220.1119999999996,292.1666666666667,4.307038321563885,-4.307038321563885,0.007693542780661456,-0.007693542780661456,5.081642107107598e-09,-5.081642107107598e-09,5.576827163431761e-07,-5.576827163431761e-07
2018,4,A_optimal_bayesian,p538,abrupt,0.021731,0,2471.5548500000004,114.75,2.2824354018580992,-2.2824354018580992,0.004272637278711036,-0.004272637278711036,2.5416702076341835e-10,-2.5416702076341835e-10,7.431104677428866e-07,-7.431104677428866e-07
2018,4,A_optimal_bayesian,p866,abrupt,0.018108,0,1312.7446499999999,224.91666666666666,1.8239180683556486,-1.8239180683556486,0.003636828225220193,-0.003636828225220193,7.96338550657083e-10,-7.96338550657083e-10,8.313211894350297e-07,-8.313211894350297e-07
2018,4,A_optimal_bayesian,p31,incipient,0.016389,0,1264.9398999999999,170.75,15.512063337561457,-15.512063337561457,0.014402005980147427,-0.014402005980147427,1.857826076012703e-05,-1.857826076012703e-05,0.00029549176002270503,-0.00029549176002270503
2018,4,A_optimal_bayesian,p654,incipient,0.0087735,0,1845.43415,201.83333333333334,4.326328350028235,-4.326328350028235,0.007818005351041272,-0.007818005351041272,1.8192110040615717e-09,-1.8192110040615717e-09,7.293883252011763e-07,-7.293883252011763e-07
2018,4,A_optimal_bayesian,p183,abrupt,0.015853,0,767.18975,121.33333333333333,2.728252253338596,-2.728252253338596,0.005253211320346009,-0.005253211320346009,1.8146462110735229e-10,-1.8146462110735229e-10,1.2225132945825426e-06,-1.2225132945825426e-06
2018,4,A_optimal_bayesian,p158,abrupt,0.019364,0,356.89074999999997,38.916666666666664,4.436083120638511,-4.436083120638511,0.007955919628814003,-0.007955919628814003,1.3228640405316128e-11,-1.3228640405316128e-11,3.9660012973698006e-07,-3.9660012973698006e-07
2018,4,A_optimal_bayesian,p369,abrupt,0.019363,0,406.80710000000005,12.083333333333334,6.473384806358562,-6.473384806358562,0.012744626711013687,-0.012744626711013687,0.00015189395175352338,-0.00015189395175352338,9.38510268899896e-07,-9.38510268899896e-07
2018,4,E_optimal_observable_subspace,p257,incipient,0.011843,0,1686.7510500000005,135.5,22.05486644072306,-22.05486644072306,0.026901774861032467,-0.026901774861032467,0.0031257467453325027,-0.0031257467453325027,1.1138287701786938e-05,-1.1138287701786938e-05
2018,4,E_optimal_observable_subspace,p461,incipient,0.02132,0,2022.2249500000007,198.25,7.6854789945464015,-7.6854789945464015,0.007334517761797202,-0.007334517761797202,2.4190505332866152e-05,-2.4190505332866152e-05,6.916013311668952e-06,-6.916013311668952e-06
2018,4,E_optimal_observable_subspace,p232,incipient,0.020108,1,,,4.45635745054197,-4.45635745054197,0.00884502533945917,-0.00884502533945917,1.8386705290529548e-05,-1.8386705290529548e-05,6.59431639730379e-06,-6.59431639730379e-06
2018,4,E_optimal_observable_subspace,p427,incipient,0.0090731,0,1454.9428000000003,339.9166666666667,5.04771002466793,-5.04771002466793,0.010338541602920696,-0.010338541602920696,0.00010208150982782271,-0.00010208150982782271,9.784610273228458e-06,-9.784610273228458e-06
2018,4,E_optimal_observable_subspace,p673,abrupt,0.022916,0,66.32135,23.416666666666668,8.960731797309826,-8.960731797309826,0.01795429322152211,-0.01795429322152211,3.9603440349367247e-07,-3.9603440349367247e-07,1.9832538091490115e-06,-1.9832538091490115e-06
2018,4,E_optimal_observable_subspace,p810,incipient,0.010028,0,3134.9808999999996,151.83333333333334,2.9714353134592346,-2.9714353134592346,0.005754387856371917,-0.005754387856371917,1.2648317393448849e-08,-1.2648317393448849e-08,4.924352830798718e-06,-4.924352830798718e-06
2018,4,E_optimal_observable_subspace,p628,incipient,0.022318,0,1220.1119999999996,292.1666666666667,5.228825069553216,-5.228825069553216,0.008617121948090358,-0.008617121948090358,1.3632324870060941e-05,-1.3632324870060941e-05,4.835899246402276e-06,-4.835899246402276e-06
2018,4,E_optimal_observable_subspace,p538,abrupt,0.021731,0,2471.5548500000004,108.66666666666667,6.958350812055903,-6.958350812055903,0.0067158678079358505,-0.0067158678079358505,2.269948917721365e-08,-2.269948917721365e-08,1.0942840966793247e-05,-1.0942840966793247e-05
2018,4,E_optimal_observable_subspace,p866,abrupt,0.018108,0,2348.9909000000002,224.91666666666666,1.8239180683556486,-1.8239180683556486,0.003811095862459217,-0.003811095862459217,5.4117154091315456e-08,-5.4117154091315456e-08,1.5049095799382087e-05,-1.5049095799382087e-05
