fault,split,n,failure_rate,accuracy,median_fo_d_S,auroc_fo_d_S,auroc_entropy,auroc_top1_top2_margin
1,test,1800,0.0,1.0,614.8708301285903,,,
2,test,1800,0.0,1.0,259.10589624853696,,,
3,test,1800,0.5261111111111111,0.4738888888888889,3.900146484375,0.964599754144327,0.973899189270492,0.927357447656634
4,test,1800,0.45166666666666666,0.5483333333333333,16.0003662109375,0.9358623981376591,0.9631071082747301,0.8860637238591231
5,test,1800,0.011666666666666667,0.9883333333333333,228.33333333333331,0.7909740624749056,0.9711716052356861,0.9785593832811371
6,test,1800,0.0,1.0,1045.0,,,
7,test,1800,0.0038888888888888888,0.9961111111111111,474.66634114583337,0.8966217831248506,0.9737072743207712,0.997012190263724
8,test,1800,0.02,0.98,507.4999978144964,0.46696271101033004,0.8875346434870245,0.967380007558579
9,test,1800,0.8205555555555556,0.17944444444444443,11.666666666666668,0.504568502382245,0.5326335073815008,0.36145039208000485
10,test,1800,0.2833333333333333,0.7166666666666667,84.66715494791667,0.6024015807873537,0.856514667882657,0.8227458580331357
11,test,1800,0.3888888888888889,0.6111111111111112,34.600067138671875,0.8570233766233766,0.9139948051948052,0.8660961038961039
12,test,1800,0.14277777777777778,0.8572222222222222,733.3333333333334,0.5828733252469418,0.5726400891688584,0.7806335124611967
13,test,1800,0.09777777777777778,0.9022222222222223,725.0,0.4252459555530676,0.8980666424093148,0.9541815942678011
14,test,1800,0.31777777777777777,0.6822222222222222,41.0003662109375,0.9402683025443612,0.9366016719436915,0.9410228411653493
15,test,1800,0.5561111111111111,0.4438888888888889,27.00042724609375,0.8449466678502974,0.7518201448113838,0.633524798105524
16,test,1800,0.3888888888888889,0.6111111111111112,56.66666666666667,0.6022175324675325,0.6379688311688312,0.7953564935064935
17,test,1800,0.09777777777777778,0.9022222222222223,162.69989013671875,0.8533853000447829,0.9287148734885804,0.9412733010523959
18,test,1800,0.11166666666666666,0.8883333333333333,1091.0001627604167,0.6873092324493854,0.9097072486224288,0.8802625397092088
19,test,1800,0.24222222222222223,0.7577777777777778,25.50048828125,0.719607569479943,0.9472073502111975,0.9318837606607657
20,test,1800,0.05444444444444444,0.9455555555555556,167.80014038085938,0.9136729897599463,0.9506043310391137,0.9621663589054893
21,test,1800,0.8016666666666666,0.19833333333333333,0.0,0.4980520274637922,0.8128626363920481,0.4859730447965742
1,val,1200,0.0,1.0,620.212530096372,,,
2,val,1200,0.0,1.0,257.72939710056085,,,
3,val,1200,0.5591666666666667,0.44083333333333335,3.7502288818359375,0.9775467025769173,0.9357700466814477,0.9163100527103131
4,val,1200,0.5125,0.4875,16.0003662109375,0.8551803210339796,0.9034535473559864,0.8528024459731777
5,val,1200,0.0016666666666666668,0.9983333333333333,229.33349609375,0.5834724540901502,0.9841402337228714,1.0
6,val,1200,0.0,1.0,1042.333984375,,,
7,val,1200,0.0008333333333333334,0.9991666666666666,480.66650390625,0.9683069224353628,0.994161801501251,1.0
8,val,1200,0.035,0.965,481.0001627604167,0.6736882144913233,0.9251377580393124,0.9819680894810429
9,val,1200,0.7341666666666666,0.2658333333333333,11.699676513671877,0.6075989453421056,0.6060404427855208,0.4064453687922317
10,val,1200,0.20916666666666667,0.7908333333333334,91.66666666666669,0.5652920457264724,0.9032531622718819,0.8091511719192775
11,val,1200,0.3541666666666667,0.6458333333333334,34.600067138671875,0.8722793168880455,0.8908204933586338,0.8535650853889943
12,val,1200,0.04666666666666667,0.9533333333333334,774.6663411458334,0.8094327547452548,0.6787509365634365,0.9088099400599401
13,val,1200,0.02666666666666667,0.9733333333333334,743.1999206542969,0.4910504066780822,0.9538206335616438,0.979318279109589
14,val,1200,0.3258333333333333,0.6741666666666667,41.0003662109375,0.9504155615059481,0.9391563579803932,0.9315501123865465
15,val,1200,0.5241666666666667,0.47583333333333333,26.49993896484375,0.8367519677914238,0.7095325468664296,0.6110928585946614
16,val,1200,0.36833333333333335,0.6316666666666667,52.07824707031251,0.7801191513747776,0.7106997456989697,0.7225701118685753
17,val,1200,0.1175,0.8825,170.74966430664062,0.8815221103811304,0.9317166603044489,0.9446855390137893
18,val,1200,0.06833333333333333,0.9316666666666666,1078.6661783854167,0.8109374318251232,0.8993793359221607,0.9378245124132816
19,val,1200,0.25833333333333336,0.7416666666666667,25.699996948242188,0.7096085538238492,0.9371438927147517,0.9291989851395434
20,val,1200,0.04583333333333333,0.9541666666666667,162.20016479492188,0.9172369988090512,0.9607939658594681,0.97304485907106
21,val,1200,0.8325,0.1675,0.0,0.569582019830776,0.8404075717508553,0.41531830337800485
