split,n_designs,brier,mean_B_star,mean_observed_failure_rate,spearman_B_star_vs_failure_rate,p_value
test,120,0.06350910463586307,0.02820669934640523,0.2532010582010582,0.632625773031599,9.128298439853352e-15
val,120,0.057574134351453,0.02820669934640523,0.2390873015873016,0.6347675567642201,6.962272176723142e-15
