design_id,size,rep,split,n,n_fail,accuracy,auroc_fo_d_S,auprc_fo_d_S,auroc_entropy,auprc_entropy,auroc_top1_top2_margin,auprc_top1_top2_margin,auroc_snr_mean,auprc_snr_mean,auroc_count_above_3sigma,auprc_count_above_3sigma,auroc_smallest_singular_value,auprc_smallest_singular_value,auroc_design_size,auprc_design_size
0,41,0,val,210,14,0.9333333333333333,0.854774052478134,0.3334382110713554,0.9063411078717202,0.41002123064262086,0.8997813411078717,0.3593229419010937,0.8533163265306122,0.3198606673949443,0.8163265306122449,0.27664633542890504,0.8299927113702624,0.2971792178293639,0.5,0.06666666666666667
0,41,0,test,315,28,0.9111111111111111,0.8032603285216525,0.29712577645144467,0.8789198606271778,0.44907729856884887,0.9310602289696366,0.5783164306287991,0.7863364858138377,0.2644621372464442,0.7648705823792933,0.2473779219829253,0.770657043305127,0.2550482203609521,0.5,0.08888888888888889
1,41,1,val,210,14,0.9333333333333333,0.854774052478134,0.3334382110713554,0.9063411078717202,0.41002123064262086,0.8997813411078717,0.3593229419010937,0.8533163265306122,0.3198606673949443,0.8163265306122449,0.27664633542890504,0.8299927113702624,0.2971792178293639,0.5,0.06666666666666667
1,41,1,test,315,28,0.9111111111111111,0.8032603285216525,0.29712577645144467,0.8789198606271778,0.44907729856884887,0.9310602289696366,0.5783164306287991,0.7863364858138377,0.2644621372464442,0.7648705823792933,0.2473779219829253,0.770657043305127,0.2550482203609521,0.5,0.08888888888888889
2,41,2,val,210,14,0.9333333333333333,0.854774052478134,0.3334382110713554,0.9063411078717202,0.41002123064262086,0.8997813411078717,0.3593229419010937,0.8533163265306122,0.3198606673949443,0.8163265306122449,0.27664633542890504,0.8299927113702624,0.2971792178293639,0.5,0.06666666666666667
2,41,2,test,315,28,0.9111111111111111,0.8032603285216525,0.29712577645144467,0.8789198606271778,0.44907729856884887,0.9310602289696366,0.5783164306287991,0.7863364858138377,0.2644621372464442,0.7648705823792933,0.2473779219829253,0.770657043305127,0.2550482203609521,0.5,0.08888888888888889
3,41,3,val,210,14,0.9333333333333333,0.854774052478134,0.3334382110713554,0.9063411078717202,0.41002123064262086,0.8997813411078717,0.3593229419010937,0.8533163265306122,0.3198606673949443,0.8163265306122449,0.27664633542890504,0.8299927113702624,0.2971792178293639,0.5,0.06666666666666667
3,41,3,test,315,28,0.9111111111111111,0.8032603285216525,0.29712577645144467,0.8789198606271778,0.44907729856884887,0.9310602289696366,0.5783164306287991,0.7863364858138377,0.2644621372464442,0.7648705823792933,0.2473779219829253,0.770657043305127,0.2550482203609521,0.5,0.08888888888888889
4,41,4,val,210,14,0.9333333333333333,0.854774052478134,0.3334382110713554,0.9063411078717202,0.41002123064262086,0.8997813411078717,0.3593229419010937,0.8533163265306122,0.3198606673949443,0.8163265306122449,0.27664633542890504,0.8299927113702624,0.2971792178293639,0.5,0.06666666666666667
4,41,4,test,315,28,0.9111111111111111,0.8032603285216525,0.29712577645144467,0.8789198606271778,0.44907729856884887,0.9310602289696366,0.5783164306287991,0.7863364858138377,0.2644621372464442,0.7648705823792933,0.2473779219829253,0.770657043305127,0.2550482203609521,0.5,0.08888888888888889
5,41,5,val,210,14,0.9333333333333333,0.854774052478134,0.3334382110713554,0.9063411078717202,0.41002123064262086,0.8997813411078717,0.3593229419010937,0.8533163265306122,0.3198606673949443,0.8163265306122449,0.27664633542890504,0.8299927113702624,0.2971792178293639,0.5,0.06666666666666667
5,41,5,test,315,28,0.9111111111111111,0.8032603285216525,0.29712577645144467,0.8789198606271778,0.44907729856884887,0.9310602289696366,0.5783164306287991,0.7863364858138377,0.2644621372464442,0.7648705823792933,0.2473779219829253,0.770657043305127,0.2550482203609521,0.5,0.08888888888888889
6,41,6,val,210,14,0.9333333333333333,0.854774052478134,0.3334382110713554,0.9063411078717202,0.41002123064262086,0.8997813411078717,0.3593229419010937,0.8533163265306122,0.3198606673949443,0.8163265306122449,0.27664633542890504,0.8299927113702624,0.2971792178293639,0.5,0.06666666666666667
6,41,6,test,315,28,0.9111111111111111,0.8032603285216525,0.29712577645144467,0.8789198606271778,0.44907729856884887,0.9310602289696366,0.5783164306287991,0.7863364858138377,0.2644621372464442,0.7648705823792933,0.2473779219829253,0.770657043305127,0.2550482203609521,0.5,0.08888888888888889
7,41,7,val,210,14,0.9333333333333333,0.854774052478134,0.3334382110713554,0.9063411078717202,0.41002123064262086,0.8997813411078717,0.3593229419010937,0.8533163265306122,0.3198606673949443,0.8163265306122449,0.27664633542890504,0.8299927113702624,0.2971792178293639,0.5,0.06666666666666667
