design_id,n_channels,noise_scale,n_scenarios_common,B_star,B_star_support,B_dynamic,B_dynamic_support,differ
107,3,1.0,524,0.2769607843137255,408,0.2769607843137255,408,False
108,3,1.0,524,0.125,408,0.125,408,False
109,3,1.0,524,0.0,408,0.0,408,False
110,3,1.0,524,0.30637254901960786,408,0.30637254901960786,408,False
111,3,1.0,524,0.061274509803921566,408,0.061274509803921566,408,False
112,3,1.0,524,0.061274509803921566,408,0.061274509803921566,408,False
113,3,1.0,524,0.0,408,0.0,408,False
114,3,1.0,524,0.125,408,0.125,408,False
115,3,1.0,524,0.0784313725490196,408,0.0784313725490196,408,False
116,3,1.0,524,0.0,408,0.0,408,False
117,3,1.0,524,0.0784313725490196,408,0.0784313725490196,408,False
118,3,1.0,524,0.0,408,0.0,408,False
119,3,1.0,524,0.10294117647058823,408,0.10294117647058823,408,False
0,41,2.0,524,0.0,408,0.0,371,True
1,41,2.0,524,0.0,408,0.0,371,True
2,41,2.0,524,0.0,408,0.0,371,True
3,41,2.0,524,0.0,408,0.0,371,True
4,41,2.0,524,0.0,408,0.0,371,True
5,41,2.0,524,0.0,408,0.0,371,True
6,41,2.0,524,0.0,408,0.0,371,True
7,41,2.0,524,0.0,408,0.0,371,True
8,41,2.0,524,0.0,408,0.0,371,True
9,41,2.0,524,0.0,408,0.0,371,True
10,41,2.0,524,0.0,408,0.0,371,True
11,41,2.0,524,0.0,408,0.0,371,True
12,41,2.0,524,0.0,408,0.0,371,True
13,41,2.0,524,0.0,408,0.0,371,True
14,41,2.0,524,0.0,408,0.0,371,True
15,41,2.0,524,0.0,408,0.0,371,True
16,41,2.0,524,0.0,408,0.0,371,True
17,41,2.0,524,0.0,408,0.0,371,True
18,41,2.0,524,0.0,408,0.0,371,True
19,41,2.0,524,0.0,408,0.0,371,True
20,24,2.0,524,0.0,408,0.0,371,True
21,24,2.0,524,0.0,408,0.0,371,True
22,24,2.0,524,0.0024509803921568627,408,0.0026954177897574125,371,True
23,24,2.0,524,0.0,408,0.0,371,True
24,24,2.0,524,0.0,408,0.0,371,True
25,24,2.0,524,0.0,408,0.0,371,True
26,24,2.0,524,0.0,408,0.0,371,True
27,24,2.0,524,0.0024509803921568627,408,0.0026954177897574125,371,True
28,24,2.0,524,0.0,408,0.0,371,True
29,24,2.0,524,0.0,408,0.0,371,True
30,24,2.0,524,0.0,408,0.0,371,True
31,24,2.0,524,0.0,408,0.0,371,True
32,24,2.0,524,0.0,408,0.0,371,True
33,24,2.0,524,0.0,408,0.0,371,True
34,24,2.0,524,0.0,408,0.0,371,True
35,24,2.0,524,0.0024509803921568627,408,0.0026954177897574125,371,True
36,24,2.0,524,0.0,408,0.0,371,True
37,24,2.0,524,0.0,408,0.0,371,True
38,24,2.0,524,0.0,408,0.0,371,True
39,24,2.0,524,0.061274509803921566,408,0.0673854447439353,371,True
40,16,2.0,524,0.0,408,0.0,371,True
41,16,2.0,524,0.061274509803921566,408,0.0673854447439353,371,True
42,16,2.0,524,0.0,408,0.0,371,True
