n_channels,n,failure_rate,auroc_M10,auroc_M9,delta_M10_minus_M9
3,21000.0,0.4237619047619048,0.9310656267162329,0.9208433616826144,0.01022
6,21000.0,0.33704761904761904,0.9163742792311695,0.9209519368780463,-0.00458
10,21000.0,0.24219047619047618,0.9069675886675781,0.908958554560689,-0.00199
16,21000.0,0.17876190476190476,0.8932414879461212,0.8925424462003373,0.0007
24,21000.0,0.15466666666666667,0.8949396373432981,0.8947526570932409,0.00019
41,21000.0,0.06952380952380953,0.7960839023569496,0.7983413020008132,-0.00226
