noise_scale,design_id,design_size,B_star,B_star_support,B_dynamic,B_dynamic_support
1.0,0,41,0.0,325,0.0,325
1.0,1,41,0.0,325,0.0,325
1.0,2,41,0.0,325,0.0,325
1.0,3,41,0.0,325,0.0,325
1.0,4,41,0.0,325,0.0,325
1.0,5,41,0.0,325,0.0,325
1.0,6,41,0.0,325,0.0,325
1.0,7,41,0.0,325,0.0,325
1.0,8,41,0.0,325,0.0,325
1.0,9,41,0.0,325,0.0,325
1.0,10,41,0.0,325,0.0,325
1.0,11,41,0.0,325,0.0,325
1.0,12,41,0.0,325,0.0,325
1.0,13,41,0.0,325,0.0,325
1.0,14,41,0.0,325,0.0,325
1.0,15,41,0.0,325,0.0,325
1.0,16,41,0.0,325,0.0,325
1.0,17,41,0.0,325,0.0,325
1.0,18,41,0.0,325,0.0,325
1.0,19,41,0.0,325,0.0,325
1.0,20,24,0.0,325,0.0,325
1.0,21,24,0.0,325,0.0,325
1.0,22,24,0.0,325,0.0,325
1.0,23,24,0.0,325,0.0,325
1.0,24,24,0.0,325,0.0,325
1.0,25,24,0.0,325,0.0,325
1.0,26,24,0.0,325,0.0,325
1.0,27,24,0.0,325,0.0,325
1.0,28,24,0.0,325,0.0,325
1.0,29,24,0.0,325,0.0,325
1.0,30,24,0.0,325,0.0,325
1.0,31,24,0.0,325,0.0,325
1.0,32,24,0.0,325,0.0,325
1.0,33,24,0.0,325,0.0,325
1.0,34,24,0.0,325,0.0,325
1.0,35,24,0.0,325,0.0,325
1.0,36,24,0.0,325,0.0,325
1.0,37,24,0.0,325,0.0,325
1.0,38,24,0.0,325,0.0,325
1.0,39,24,0.0,325,0.0,325
1.0,40,16,0.0,325,0.0,325
1.0,41,16,0.0,325,0.0,325
1.0,42,16,0.0,325,0.0,325
1.0,43,16,0.0,325,0.0,325
1.0,44,16,0.0,325,0.0,325
1.0,45,16,0.0,325,0.0,325
1.0,46,16,0.0,325,0.0,325
1.0,47,16,0.0,325,0.0,325
1.0,48,16,0.0,325,0.0,325
1.0,49,16,0.0,325,0.0,325
1.0,50,16,0.0,325,0.0,325
1.0,51,16,0.0,325,0.0,325
1.0,52,16,0.0,325,0.0,325
1.0,53,16,0.0,325,0.0,325
1.0,54,16,0.0,325,0.0,325
1.0,55,16,0.0,325,0.0,325
1.0,56,16,0.0,325,0.0,325
1.0,57,16,0.0,325,0.0,325
1.0,58,16,0.0,325,0.0,325
1.0,59,16,0.0,325,0.0,325
1.0,60,10,0.0,325,0.0,325
1.0,61,10,0.0,325,0.0,325
1.0,62,10,0.0,325,0.0,325
1.0,63,10,0.0,325,0.0,325
1.0,64,10,0.06153846153846154,325,0.06153846153846154,325
1.0,65,10,0.0,325,0.0,325
1.0,66,10,0.0,325,0.0,325
1.0,67,10,0.0,325,0.0,325
1.0,68,10,0.0,325,0.0,325
1.0,69,10,0.06153846153846154,325,0.06153846153846154,325
1.0,70,10,0.0,325,0.0,325
1.0,71,10,0.0,325,0.0,325
1.0,72,10,0.0,325,0.0,325
1.0,73,10,0.0,325,0.0,325
1.0,74,10,0.0,325,0.0,325
