statistic,spearman,abs_spearman,p_value
minimum,-0.9361120322749107,0.9361120322749107,2.197179931693933e-55
q05,-0.9357412203044101,0.9357412203044101,3.0578564649663002e-55
cvar10,-0.9342634743546028,0.9342634743546028,1.1197065214149852e-54
cvar05,-0.9323600447740464,0.9323600447740464,5.703521311226071e-54
q10,-0.9129601931631922,0.9129601931631922,9.287830844328944e-48
design_size,-0.8460346896209425,0.8460346896209425,5.039260234062457e-34
mean,-0.8269721877274401,0.8269721877274401,2.7349788782181787e-31
b_star_equiv,0.6493718142119762,0.6493718142119762,1.0363639505189248e-15
