budget,noise,demand,seed,method,false_forgetting_rate,recall,precision,f1,false_positives,battledim_score_eur
4,0.0,0.0,0,FO,0.08695652173913049,0.9130434782608695,0.525,0.6666666666666667,19,40138.36
4,0.0,0.0,0,D_optimal_bayesian,0.08695652173913049,0.9130434782608695,0.5,0.6461538461538461,21,112267.3
4,0.0,0.0,0,A_optimal_bayesian,0.08695652173913049,0.9130434782608695,0.5,0.6461538461538461,21,112267.3
4,0.0,0.0,0,E_optimal_observable_subspace,0.08695652173913049,0.9130434782608695,0.5,0.6461538461538461,21,110607.91
4,0.0,0.0,0,bayesian_information_gain,0.08695652173913049,0.9130434782608695,0.5,0.6461538461538461,21,112267.3
4,0.0,0.0,0,D_optimal_rank_reduced,0.08695652173913049,0.9130434782608695,0.4772727272727273,0.6268656716417911,23,19962.9
4,0.0,0.0,0,A_optimal_rank_reduced,0.08695652173913049,0.9130434782608695,0.4883720930232558,0.6363636363636364,22,70738.46
4,0.0,0.0,0,E_optimal_rank_reduced,0.08695652173913049,0.9130434782608695,0.4772727272727273,0.6268656716417911,23,133504.25
4,0.0,0.0,0,goal_oriented_oed,0.08695652173913049,0.9130434782608695,0.4772727272727273,0.6268656716417911,23,132775.51
4,0.0,0.0,0,topological_dispersion,0.08695652173913049,0.9130434782608695,0.4883720930232558,0.6363636363636364,22,90713.01
4,0.0,0.0,0,centrality,0.08695652173913049,0.9130434782608695,0.5675675675675675,0.6999999999999998,16,64408.89
4,0.0,0.5,0,FO,0.04347826086956519,0.9565217391304348,0.4888888888888889,0.6470588235294117,23,25235.71
4,0.0,0.5,0,D_optimal_bayesian,0.04347826086956519,0.9565217391304348,0.4888888888888889,0.6470588235294117,23,142713.34
4,0.0,0.5,0,A_optimal_bayesian,0.04347826086956519,0.9565217391304348,0.4888888888888889,0.6470588235294117,23,142713.34
4,0.0,0.5,0,E_optimal_observable_subspace,0.04347826086956519,0.9565217391304348,0.4888888888888889,0.6470588235294117,23,162826.78
4,0.0,0.5,0,bayesian_information_gain,0.04347826086956519,0.9565217391304348,0.4888888888888889,0.6470588235294117,23,142713.34
4,0.0,0.5,0,D_optimal_rank_reduced,0.04347826086956519,0.9565217391304348,0.4583333333333333,0.619718309859155,26,119904.04
4,0.0,0.5,0,A_optimal_rank_reduced,0.04347826086956519,0.9565217391304348,0.5116279069767442,0.6666666666666667,21,73752.38
4,0.0,0.5,0,E_optimal_rank_reduced,0.04347826086956519,0.9565217391304348,0.5,0.6567164179104478,22,118686.66
4,0.0,0.5,0,goal_oriented_oed,0.04347826086956519,0.9565217391304348,0.4782608695652174,0.6376811594202898,24,102736.19
4,0.0,0.5,0,topological_dispersion,0.04347826086956519,0.9565217391304348,0.4888888888888889,0.6470588235294117,23,68189.11
4,0.0,0.5,0,centrality,0.04347826086956519,0.9565217391304348,0.5641025641025641,0.7096774193548387,17,20172.35
4,0.0,0.5,1,FO,0.08695652173913049,0.9130434782608695,0.5,0.6461538461538461,21,51457.18
4,0.0,0.5,1,D_optimal_bayesian,0.04347826086956519,0.9565217391304348,0.46808510638297873,0.6285714285714286,25,101222.08
4,0.0,0.5,1,A_optimal_bayesian,0.04347826086956519,0.9565217391304348,0.46808510638297873,0.6285714285714286,25,101222.08
4,0.0,0.5,1,E_optimal_observable_subspace,0.04347826086956519,0.9565217391304348,0.4782608695652174,0.6376811594202898,24,131240.9
4,0.0,0.5,1,bayesian_information_gain,0.04347826086956519,0.9565217391304348,0.46808510638297873,0.6285714285714286,25,101222.08
4,0.0,0.5,1,D_optimal_rank_reduced,0.04347826086956519,0.9565217391304348,0.46808510638297873,0.6285714285714286,25,89494.16
4,0.0,0.5,1,A_optimal_rank_reduced,0.04347826086956519,0.9565217391304348,0.4782608695652174,0.6376811594202898,24,26174.11
4,0.0,0.5,1,E_optimal_rank_reduced,0.08695652173913049,0.9130434782608695,0.4666666666666667,0.6176470588235294,24,124022.65
4,0.0,0.5,1,goal_oriented_oed,0.04347826086956519,0.9565217391304348,0.4888888888888889,0.6470588235294117,23,125195.98
4,0.0,0.5,1,topological_dispersion,0.04347826086956519,0.9565217391304348,0.4782608695652174,0.6376811594202898,24,54075.88
4,0.0,0.5,1,centrality,0.08695652173913049,0.9130434782608695,0.525,0.6666666666666667,19,13567.72
4,0.0,0.5,2,FO,0.08695652173913049,0.9130434782608695,0.5121951219512195,0.6562499999999999,20,52761.37
4,0.0,0.5,2,D_optimal_bayesian,0.04347826086956519,0.9565217391304348,0.46808510638297873,0.6285714285714286,25,158108.76
4,0.0,0.5,2,A_optimal_bayesian,0.04347826086956519,0.9565217391304348,0.46808510638297873,0.6285714285714286,25,158108.76
4,0.0,0.5,2,E_optimal_observable_subspace,0.04347826086956519,0.9565217391304348,0.4888888888888889,0.6470588235294117,23,121050.58
4,0.0,0.5,2,bayesian_information_gain,0.04347826086956519,0.9565217391304348,0.46808510638297873,0.6285714285714286,25,158108.76
4,0.0,0.5,2,D_optimal_rank_reduced,0.04347826086956519,0.9565217391304348,0.46808510638297873,0.6285714285714286,25,48500.72
4,0.0,0.5,2,A_optimal_rank_reduced,0.08695652173913049,0.9130434782608695,0.4772727272727273,0.6268656716417911,23,73954.62
