budget,method,recall,false_forgetting_rate,n_events_detected,n_events,delay_mean_h,delay_median_h,localisation_mean_m,localisation_median_m,false_positives_mean,battledim_score_eur_mean,compute_time_s_mean
4,E_optimal_observable_subspace,1.0,0.0,14,14,236.10119047619045,186.04166666666666,2033.2323178571428,1995.1055750000005,12.928571428571429,38851.95928571429,0.017285714285714283
4,D_optimal_bayesian,0.9285714285714286,0.0714285714285714,13,14,234.2051282051282,169.16666666666666,1591.4649,1602.5909000000001,12.857142857142858,32113.218571428566,0.018714285714285715
4,A_optimal_bayesian,0.9285714285714286,0.0714285714285714,13,14,234.2051282051282,169.16666666666666,1591.4649,1602.5909000000001,12.857142857142858,32113.218571428566,0.01842857142857143
4,bayesian_information_gain,0.9285714285714286,0.0714285714285714,13,14,234.2051282051282,169.16666666666666,1591.4649,1602.5909000000001,12.857142857142858,32113.218571428566,0.01714285714285714
4,D_optimal_rank_reduced,0.9285714285714286,0.0714285714285714,13,14,411.801282051282,151.5,1556.389907692308,1469.3974000000003,9.071428571428571,-622.5242857142856,0.014785714285714287
4,topological_dispersion,0.9285714285714286,0.0714285714285714,13,14,226.98076923076923,174.16666666666666,1899.9280461538463,2022.2249500000007,11.0,36411.45285714286,0.015714285714285712
4,FO,0.8571428571428571,0.1428571428571429,12,14,767.9791666666666,239.625,1013.2499666666668,809.06835,8.642857142857142,2823.9585714285713,0.014142857142857148
4,E_optimal_rank_reduced,0.8571428571428571,0.1428571428571429,12,14,265.0069444444445,126.75,1832.5380666666667,1836.4966750000003,11.285714285714286,41725.67928571428,0.015928571428571427
4,goal_oriented_oed,0.8571428571428571,0.1428571428571429,12,14,219.2013888888889,118.29166666666666,1548.3739083333337,1409.0724500000001,12.571428571428571,38411.18357142858,0.017357142857142856
4,centrality,0.8571428571428571,0.1428571428571429,12,14,833.8333333333334,241.25,1060.2818291666665,947.4058999999999,8.857142857142858,5923.387857142857,0.013214285714285718
4,A_optimal_rank_reduced,0.7857142857142857,0.2142857142857143,11,14,641.5606060606061,279.5,845.0730272727272,888.8717,10.285714285714286,6972.536428571427,0.014857142857142862
6,D_optimal_bayesian,1.0,0.0,14,14,201.28571428571428,124.54166666666666,1887.6652214285714,1876.8180750000001,14.642857142857142,31140.56857142857,0.018785714285714284
6,A_optimal_bayesian,1.0,0.0,14,14,201.28571428571428,124.54166666666666,1887.6652214285714,1876.8180750000001,14.642857142857142,31140.56857142857,0.018642857142857138
6,E_optimal_observable_subspace,1.0,0.0,14,14,201.28571428571428,124.54166666666666,1887.6652214285714,1876.8180750000001,14.642857142857142,31140.56857142857,0.019499999999999997
6,bayesian_information_gain,1.0,0.0,14,14,201.28571428571428,124.54166666666666,1887.6652214285714,1876.8180750000001,14.642857142857142,31140.56857142857,0.01857142857142857
6,D_optimal_rank_reduced,1.0,0.0,14,14,292.7261904761905,116.45833333333334,1674.9187500000003,1781.7116,12.428571428571429,30630.106428571427,0.017357142857142856
6,E_optimal_rank_reduced,1.0,0.0,14,14,244.02380952380955,126.75,1568.576728571429,1472.0223,13.357142857142858,40951.02000000001,0.018142857142857138
6,FO,0.9285714285714286,0.0714285714285714,13,14,495.2115384615384,253.75,1237.808430769231,981.1133499999997,11.785714285714286,-1582.207142857143,0.016142857142857146
6,A_optimal_rank_reduced,0.9285714285714286,0.0714285714285714,13,14,348.4294871794872,151.5,1220.352126923077,1422.1610500000006,13.785714285714286,15573.630714285715,0.017857142857142853
6,goal_oriented_oed,0.9285714285714286,0.0714285714285714,13,14,228.7948717948718,174.16666666666666,1249.2920192307693,1320.39365,15.285714285714286,35247.68071428571,0.019357142857142854
6,topological_dispersion,0.9285714285714286,0.0714285714285714,13,14,205.32692307692307,174.16666666666666,1827.5729769230775,1770.4300500000002,14.357142857142858,35846.65214285714,0.018642857142857138
6,centrality,0.8571428571428571,0.1428571428571429,12,14,364.8055555555556,225.375,1184.6356666666668,1096.7030499999998,12.928571428571429,2072.9292857142855,0.016571428571428567
8,D_optimal_bayesian,1.0,0.0,14,14,181.625,82.75,1640.6628857142857,1781.7116,16.785714285714285,36179.58714285714,0.02092857142857143
8,A_optimal_bayesian,1.0,0.0,14,14,181.625,82.75,1640.6628857142857,1781.7116,16.785714285714285,36179.58714285714,0.02135714285714286
8,E_optimal_observable_subspace,1.0,0.0,14,14,181.625,82.75,1640.6628857142857,1781.7116,16.785714285714285,36179.58714285714,0.021214285714285717
8,bayesian_information_gain,1.0,0.0,14,14,181.625,82.75,1640.6628857142857,1781.7116,16.785714285714285,36179.58714285714,0.020785714285714286
8,D_optimal_rank_reduced,1.0,0.0,14,14,216.52976190476193,124.54166666666666,1725.3425071428574,1826.1298500000003,14.714285714285714,33200.15214285715,0.01957142857142857
8,A_optimal_rank_reduced,1.0,0.0,14,14,307.88690476190476,117.625,1443.2183178571431,1497.4949500000002,15.642857142857142,8570.847857142857,0.02007142857142857
8,E_optimal_rank_reduced,1.0,0.0,14,14,202.91071428571428,114.58333333333334,1565.9897392857147,1651.4735999999998,15.071428571428571,41035.58142857144,0.019714285714285712
8,FO,0.9285714285714286,0.0714285714285714,13,14,412.88461538461536,191.91666666666666,1430.8177230769231,1182.24405,13.5,-1960.2114285714285,0.017642857142857137
8,goal_oriented_oed,0.9285714285714286,0.0714285714285714,13,14,207.87820512820514,170.58333333333334,1669.6112384615385,1483.6390999999999,17.0,40779.913571428566,0.020857142857142855
8,topological_dispersion,0.9285714285714286,0.0714285714285714,13,14,231.79487179487177,174.16666666666666,1754.2008999999998,1777.1869000000002,16.571428571428573,37223.97214285714,0.02092857142857143
8,centrality,0.8571428571428571,0.1428571428571429,12,14,346.5347222222222,225.375,1175.0518541666665,1103.9303499999999,14.142857142857142,4260.327857142857,0.017857142857142853
10,D_optimal_bayesian,1.0,0.0,14,14,172.10714285714283,87.70833333333334,1689.7703750000003,1798.6409250000002,18.642857142857142,36159.14,0.02314285714285715
10,A_optimal_bayesian,1.0,0.0,14,14,170.51785714285714,101.0,1493.977842857143,1503.2541250000004,18.785714285714285,36260.487857142856,0.022714285714285715
