pipe,status,n_samples,official_mean_cmh,regenerated_mean_cmh,max_abs_diff_cmh,mean_abs_diff_cmh,rel_mean_abs_diff,frac_within_rounding,pearson_r
p123,COMPARED,105120,1.4277012937595128,1.4276706621004565,0.08999999999999986,0.0007760654490106552,0.0005435769039384078,0.9799181887366819,0.9999979885901504
p142,COMPARED,105120,2.5140664954337897,2.5140657343987822,0.240000000000002,0.00012956621004566227,5.153650879202631e-05,0.9992294520547945,0.9999997987870166
p193,COMPARED,105120,5.091349695585998,5.091319634703196,0.0600000000000005,0.0008613013698630153,0.0001691695564753154,0.9795471841704718,0.999999198943685
p257,COMPARED,105120,6.716849124809742,6.716743340943684,0.1900000000000004,0.018591324200913233,0.002767863898005874,0.7735635464231355,0.795583615919957
p277,COMPARED,105120,3.296404775494673,3.296508276255708,0.1900000000000004,0.006481544901065445,0.001966246666443685,0.9248002283105022,0.9999710200293273
p280,COMPARED,105120,4.610522545662101,4.610472792998478,0.11000000000000032,0.010009608066971093,0.0021710354884586403,0.7986491628614917,0.9998930430313295
p331,COMPARED,105120,7.384805555555555,7.384751617199391,0.23000000000000043,0.011709570015220704,0.0015856301059154697,0.9275114155251142,0.9999583784659265
p426,COMPARED,105120,2.4380630707762556,2.437964326484018,0.22000000000000064,0.003341324200913241,0.0013704830859233661,0.9794901065449011,0.9999893191737123
p427,COMPARED,105120,4.994298611111112,4.994294330289193,0.08000000000000007,0.004868436073059353,0.0009747987559711098,0.9049372146118722,0.9591392072812568
p455,COMPARED,105120,1.2083747146118724,1.2083638698630137,0.040000000000000924,0.0001893074581430748,0.0001566628760548668,0.9902777777777778,0.9999998323556927
p514,COMPARED,105120,2.1467545662100456,2.1468022260273973,0.08000000000000007,0.004062500000000007,0.0018923914563610709,0.9301750380517504,0.9999956990406396
p523,COMPARED,105120,1.270365582191781,1.270365582191781,0.0,0.0,0.0,1.0,0.9999999999999999
p586,COMPARED,105120,1.6485324391171992,1.6485324391171992,0.0,0.0,0.0,1.0,1.0
p653,COMPARED,105120,1.4922999429223744,1.4923465563165905,0.15000000000000213,0.004289003044140025,0.0028740891296563753,0.9529299847792998,0.9999882357370855
p654,COMPARED,105120,5.403985825722983,5.403991914003044,0.05000000000000071,0.003117009132420093,0.0005767981695257459,0.9053272450532724,0.9681381906554934
p680,COMPARED,105120,2.5656473554033483,2.5656473554033483,0.0,0.0,0.0,1.0,0.9999999999999999
p710,COMPARED,105120,4.230680555555556,4.23067551369863,0.0600000000000005,0.0031728500761034973,0.000749962100527075,0.905660197869102,0.9999892212999514
p721,COMPARED,105120,4.149269121004566,4.1492084284627095,0.120000000000001,0.0017979452054794542,0.00043331612220037433,0.9797945205479452,0.9999975270909579
p762,COMPARED,105120,2.0014146689497716,2.0013940258751903,0.10000000000000142,0.0005807648401826473,0.00029017716777673047,0.9829528158295282,0.9999994810331769
p800,COMPARED,105120,1.8562931887366816,1.8562931887366816,0.0,0.0,0.0,1.0,1.0
p810,COMPARED,105120,6.81207448630137,6.812073820395738,0.040000000000000036,0.0022388698630137027,0.00032866197624760587,0.9136320395738204,0.9867965415634512
p827,COMPARED,105120,0.9772194634703195,0.9772194634703195,0.0,0.0,0.0,1.0,1.0
p879,COMPARED,105120,0.4139718417047184,0.41397222222222224,0.010000000000000675,3.995433789954356e-06,9.651462702152227e-06,0.999781202435312,0.9999999921353611
